id,english,code,hypers,hypons
2510,Furniture & Accessories,749,2479,
2511,Painting,750,2425,"1565,2104,2517,2516,2515,2514,2513,2512"
2512,Painting & Paintings,750,2511,
2513,"Techniques, Equipment, Materials & Forms",751,2511,
2514,"Symbolism, Allegory, Mythology & Legend",753,2511,
2515,Genre Paintings,754,2511,
2516,Human Figures,757,2511,
2517,Other Subjects,758,2511,
2518,Printmaking & prints,760,2425,"2526,2525,2524,2523,2522,2521,2520,2519"
2519,Printmaking & prints,760,2518,
2520,Relief Processes (Block Printing),761,2518,
2521,Lithographic Processes,763,2518,
2522,Chromolithography & Serigraphy,764,2518,
2523,Metal Engraving,765,2518,
2524,"Mezzotinting, Aquatinting & Related Processes",766,2518,
2525,Etching & Drypoint,767,2518,
2526,Prints,769,2518,
2527,"Photography, computer art, cinematography, videography",770,2528,
2528,"Photography, Computer Art, Film, Video",770,2425,"2527,2535,2534,2533,2532,2531,2530,2529"
2529,Metallic Salt Processes,772,2527,
2530,Pigment Processes Of Printing,773,2527,
2531,Holography,774,2527,
2532,Digital Photography,775,2527,
2533,Computer Art (Digital Art),776,2527,
2534,Fields & Kinds Of Photography,778,2527,
2535,Photographs,779,2527,
2536,Music,780,2425,"2537,2546,2556,2563,2573,2574,2583,2591,2973"
2537,General Principles & Musical Forms,781,2536,"2545,2544,2543,2542,2541,2540,2539,2538"
2538,"Aesthetics, Appreciation, Taste",781.1,2537,
2539,Elements Of Music,781.2,2537,
2540,Composition,781.3,2537,
2541,Techniques Of Music,781.4,2537,
2542,Kinds Of Music,781.5,2537,
2543,Traditions Of Music,781.6,2537,
2544,Sacred Music,781.7,2537,
2545,Musical Forms,781.8,2537,
2546,Vocal Music,782,2536,"2547,2548,2549,2550,2551,2552,2553,2554,2555"
2547,Dramatic Vocal Forms Operas,782.1,2546,
2548,Nondramatic Vocal Forms,782.2,2546,
2549,Services (Liturgy And Ritual),782.3,2546,
2550,Secular Forms,782.4,2546,
2551,Mixed Voices,782.5,2546,
2552,Women'S Voices,782.6,2546,
2553,Children'S Voices,782.7,2546,
2554,Men'S Voices,782.8,2546,
2555,Other Types Of Voices,782.9,2546,
2556,Music For Single Voices; The Voice,783,2536,"2552,2553,2554,2557,2558,2559,2560,2561,2562"
2557,Single Voices In Combination,783.1,2556,
2558,Solo Voice,783.2,2556,
2559,High Voice,783.3,2556,
2560,Middle Voice,783.4,2556,
2561,Low Voice,783.5,2556,
2562,Other Types Of Voice,783.9,2556,
2563,Instruments & Instrumental Ensembles,784,2536,"2564,2565,2566,2567,2568,2569,2570,2571,2572"
2564,"General Principles, Musical Forms, Instruments",784.1,2563,
2565,Full (Symphony) Orchestra,784.2,2563,
2566,Chamber Orchestra,784.3,2563,
2567,Light Orchestra,784.4,2563,
2568,Pop Music,784.5,2563,
2569,"Keyboard, Mechanical, Electronic, Percussion Bands",784.6,2563,
2570,String Orchestra,784.7,2563,
2571,Wind Band,784.8,2563,
2572,Brass Band,784.9,2563,
2573,Ensembles With One Instrument Per Part,785,2536,
2574,Keyboard & Other Instruments,786,2536,"2582,2581,2580,2579,2578,2577,2576,2575"
2575,Piano,786.2,2574,
2576,Clavichord,786.3,2574,
2577,Harpsichord,786.4,2574,
2578,Keyboard Wind Instruments Organ,786.5,2574,
2579,Mechanical And Aeolian Instruments,786.6,2574,
2580,Electrophones Electronic Instruments,786.7,2574,
2581,Percussion Instruments,786.8,2574,
2582,Drums And Devices Used For Percussion Effects,786.9,2574,
2583,Stringed Instruments,787,2536,"2590,2589,2588,2587,2586,2585,2584"
2584,Violin,787.2,2583,
2585,Viola,787.3,2583,
2586,Cello,787.4,2583,
2587,Double Bass,787.5,2583,
2588,Other Bowed Stringed Instruments Viol,787.6,2583,
2589,"Plectral Instruments, Guitar",787.7,2583,
2590,Harp And Musical Bow,787.9,2583,
2591,Wind Instruments,788,2536,"2599,2598,2597,2596,2595,2594,2593,2592"
2592,Woodwind Instruments And Free Aerophones,788.2,2591,
2593,Flute Family,788.3,2591,
2594,Reed Instruments,788.4,2591,
2595,Double-Reed Instruments,788.5,2591,
2596,Single-Reed Instruments,788.6,2591,
2597,Saxophone,788.7,2591,
2598,Free Reeds,788.8,2591,
2599,Brass Instruments (Lip-Reed Instruments),788.9,2591,
2600,"Sports, Games & Entertainment",790,2425,"2601,2604,2610,2619,2627,2633,2638,2647,2651,2654"
2601,Recreational & Performing Arts,790,2600,
2602,Recreational Activities,790.1,2601,
2603,The Performing Arts In General,790.2,2601,
2604,Public Performances,791,2600,"2609,2608,2607,2606,2605"
2605,Circuses,791.3,2604,
2606,"Motion Pictures, Radio, Television",791.4,2604,
2607,Puppetry And Toy Theaters,791.5,2604,
2608,Pageantry,791.6,2604,
2609,Animal Performances,791.8,2604,
2610,Stage Presentations,792,2600,"2618,2617,2616,2615,2614,2613,2612,2611"
2611,Tragedy And Serious Drama,792.1,2610,
2612,Comedy And Melodrama,792.2,2610,
2613,Pantomime,792.3,2610,
2614,Opera,792.5,2610,
2615,Musical Plays,792.6,2610,
2616,Variety Shows,792.7,2610,
2617,Ballet And Modern Dance,792.8,2610,
2618,Stage Productions,792.9,2610,
2619,Indoor Games & Amusements,793,2600,"2623,2622,2621,2620,2626,2625,2624"
2620,Parties And Entertainment,793.2,2619,
2621,"Social, Folk, National Dancing",793.3,2619,
2622,Games Of Action,793.4,2619,
2623,Forfeit And Trick Games,793.5,2619,
2624,Games Not Characterized By Action,793.7,2619,
2625,Magic And Related Activities,793.8,2619,
2626,Other Indoor Diversions,793.9,2619,
2627,Indoor Games Of Skill,794,2600,"2632,2631,2630,2629,2628"
2628,Chess,794.1,2627,
2629,Checkers (Draughts),794.2,2627,
2630,Darts,794.3,2627,
2631,Bowling,794.6,2627,
2632,Ball Games,794.7,2627,
2633,Games Of Chance,795,2600,"2637,2636,2635,2634"
2634,Games With Dice,795.1,2633,
2635,Wheel And Top Games,795.2,2633,
2636,Games Dependent On Drawing Numbers Or Counters,795.3,2633,
2637,Card Games,795.4,2633,
2638,Athletic & Outdoor Sports & Games,796,2600,"2632,2639,2640,2641,2642,2643,2644,2645,2646"
2639,Miscellaneous Games,796.1,2638,
2640,Activities And Games Requiring Equipment,796.2,2638,
2641,"Weight Lifting, Track And Field, Gymnastics",796.4,2638,
2642,Outdoor Life,796.5,2638,
2643,Cycling And Related Activities,796.6,2638,
2644,Driving Motor Vehicles,796.7,2638,
2645,Combat Sports,796.8,2638,
2646,Ice And Snow Sports,796.9,2638,
2647,Aquatic & Air Sports,797,2600,"2650,2649,2648"
2648,Boating,797.1,2647,
2649,Swimming And Diving,797.2,2647,
2650,Other Aquatic Sports,797.3,2647,
2651,Equestrian Sports & Animal Racing,798,2600,"2653,2652"
2652,Horsemanship,798.2,2651,
2653,Horse Racing; Flat Racing,798.4,2651,
2654,"Fishing, Hunting & Shooting",799,2600,"2655,2656"
2655,Fishing,799.1,2654,
2656,Hunting,799.2,2654,
2657,Literature,800,,"2658,2676,2685,2694,2705,2716,2726,2736,2747,2758"
2658,"Literature, Rhetoric & Criticism",800,2657,"2659,2660,2668,2910,2911,2912,2913,2914,2915"
2659,Literature & Rhetoric,800,2654,"2658,2676,2685,2694,2705,2716,2726,2736,2747,2758"
2660,Rhetoric & Collections Of Literature,808,2658,"2667,2666,2665,2664,2663,2662,2661"
2661,Rhetoric Of Poetry,808.1,2660,
2662,Rhetoric Of Drama,808.2,2660,
2663,Rhetoric Of Fiction,808.3,2660,
2664,Rhetoric Of Essays,808.4,2660,
2665,Rhetoric Of Speech,808.5,2660,
2666,Rhetoric Of Letters,808.6,2660,
2667,Rhetoric Of Satire And Humor,808.7,2660,
2668,"History, Description & Criticism",809,2658,"2675,2674,2673,2672,2671,2670,2669"
2669,Literary History And Criticism Of Poetry,809.1,2668,
2670,Literary History And Criticism Of Drama,809.2,2668,
2671,Literary History And Criticism Of Fiction,809.3,2668,
2672,Literary History And Criticism Of Essays,809.4,2668,
2673,Literary History And Criticism Of Speech,809.5,2668,
2674,Literary History And Criticism Of Letters,809.6,2668,
2675,Literary History And Criticism Of Satire And Humor,809.7,2668,
2676,American Literature In English,810,2657,"2677,2678,2679,2680,2681,2682,2683,2684,2974"
2677,American Poetry In English,811,2676,
2678,American Drama In English,812,2676,
2679,American Fiction In English,813,2676,
2680,American Essays In English,814,2676,
2681,American Speeches In English,815,2676,
2682,American Letters In English,816,2676,
2683,American Humor & Satire In English,817,2676,
2684,American Miscellaneous Writings,818,2676,
2685,English & Old English Literatures,820,2657,"2686,2687,2688,2689,2690,2691,2692,2693,2975"
2686,English Poetry,821,2685,
2687,English Drama,822,2685,
2688,English Fiction,823,2685,
2689,English Essays,824,2685,
2690,English Speeches,825,2685,
2691,English Letters,826,2685,
2692,English Humor & Satire,827,2685,
2693,English Miscellaneous Writings,828,2685,
2694,German & Related Literatures,830,2657,"2695,2696,2697,2698,2699,2700,2701,2702,2703,2704"
2695,German literature & literatures of related languages,830,2694,
2696,German Poetry,831,2694,
2697,German Drama,832,2694,
2698,German Fiction,833,2694,
2699,German Essays,834,2694,
2700,German Speeches,835,2694,
2701,German Letters,836,2694,
2702,German Humor & Satire,837,2694,
2703,German Miscellaneous Writings,838,2694,
2704,Other Germanic Literatures,839,2694,
2705,French & Related Literatures,840,2657,"2706,2707,2708,2709,2710,2711,2712,2713,2714,2715"
2706,French literature & literatures of related Romance languages,840,2705,
2707,French Poetry,841,2705,
2708,French Drama,842,2705,
2709,French Fiction,843,2705,
2710,French Essays,844,2705,
2711,French Speeches,845,2705,
2712,French Letters,846,2705,
2713,French Humor & Satire,847,2705,
2714,French Miscellaneous Writings,848,2705,
2715,Occitan & Catalan Literatures,849,2705,
2716,"Italian, Romanian & Related Literatures",850,2657,"2717,2718,2719,2720,2721,2722,2723,2724,2725,2976"
2717,Italian Poetry,851,2716,
2718,Italian Drama,852,2716,
2719,Italian Fiction,853,2716,
2720,Italian Essays,854,2716,
2721,Italian Speeches,855,2716,
2722,Italian Letters,856,2716,
2723,Italian Humor & Satire,857,2716,
2724,Italian Miscellaneous Writings,858,2716,
2725,Romanian & Related Literatures,859,2716,
2726,Spanish & Portuguese Literatures,860,2657,"2727,2728,2729,2730,2731,2732,2733,2734,2735,2977"
2727,Spanish Poetry,861,2726,
2728,Spanish Drama,862,2726,
2729,Spanish Fiction,863,2726,
2730,Spanish Essays,864,2726,
2731,Spanish Speeches,865,2726,
2732,Spanish Letters,866,2726,
2733,Spanish Humor & Satire,867,2726,
2734,Spanish Miscellaneous Writings,868,2726,
2735,Portuguese Literature,869,2726,
2736,Latin & Italic Literatures,870,2657,"2737,2738,2739,2740,2741,2742,2743,2744,2745,2746"
2737,Latin literature & literatures of related Italic languages,870,2736,
2738,Latin Poetry,871,2736,
2739,Latin Dramatic Poetry & Drama,872,2736,
2740,Latin Epic Poetry & Fiction,873,2736,
2741,Latin Lyric Poetry,874,2736,
2742,Latin Speeches,875,2736,
2743,Latin Letters,876,2736,
2744,Latin Humor & Satire,877,2736,
2745,Latin Miscellaneous Writings,878,2736,
2746,Literatures Of Other Italic Languages,879,2736,
2747,Classical & Modern Greek Literatures,880,2657,"2748,2749,2750,2751,2752,2753,2754,2755,2756,2757"
2748,Classical Greek literature & literatures of related Hellenic languages,880,2747,
2749,Classical Greek Poetry,881,2747,
2750,Classical Greek Dramatic Poetry & Drama,882,2747,
2751,Classical Greek Epic Poetry & Fiction,883,2747,
2752,Classical Greek Lyric Poetry,884,2747,
2753,Classical Greek Speeches,885,2747,
2754,Classical Greek Letters,886,2747,
2755,Classical Greek Humor & Satire,887,2747,
2756,Classical Greek Miscellaneous Writings,888,2747,
2757,Modern Greek Literature,889,2747,
2758,Other Literatures,890,2657,"2047,2759,2760,2761,2762,2763,2764,2765,2766,2767"
2759,Literatures of other specific languages and language families,890,2758,
2760,East Indo-European & Celtic Literatures,891,2758,
2761,Afro-Asiatic Literatures; Semitic Literatures,892,2758,
2762,Non-Semitic Afro-Asiatic Literatures,893,2758,
2763,Literatures Of East & Southeast Asia,895,2758,
2764,African Literatures,896,2758,
2765,North American Native Literatures,897,2758,
2766,South American Native Literatures,898,2758,
2767,Austronesian & Other Literatures,899,2758,
2768,History & Geography,900,,"2769,2772,2790,2798,2810,2822,2833,2843,2853,2863"
2769,History,900,2768,"2770,2771,2918,2919,2920,2921,2922,2923,2934"
2770,Collected Accounts Of Events,904,2769,
2771,World History,909,2769,
2772,Geography & Travel,910,2768,"2773,2774,2775,2776,2781,2786,2787,2788,2789,2979"
2773,Historical Geography,911,2772,
2774,"Atlases, Maps, Charts & Plans",912,2772,
2775,Geography Of & Travel In Ancient World,913,2772,
2776,Geography Of & Travel In Europe,914,2772,"2780,2779,2778,2777"
2777,Britain,914.2,2776,
2778,Germany,914.3,2776,
2779,France,914.4,2776,
2780,Italy,914.5,2776,
2781,Geography Of & Travel In Asia,915,2772,"2783,2782,2785,2784"
2782,Spain,915.6,2781,
2783,Russia,915.7,2781,
2784,Greece,915.8,2781,
2785,Other Europe,915.9,2781,
2786,Geography Of & Travel In Africa,916,2772,
2787,Geography Of & Travel In North America,917,2772,
2788,Geography Of & Travel In South America,918,2772,
2789,Geography Of & Travel In Other Areas,919,2772,
2790,Biography & Genealogy,920,2768,"2791,2792"
2791,"Biography, Genealogy & Insignia",920,2790,
2792,"Genealogy, Names & Insignia",929,2790,"2797,2796,2795,2794,2793"
2793,Personal Names,929.4,2792,
2794,Heraldry,929.6,2792,
2795,"Royal Houses, Peerage, Gentry, Orders Of Knighthood",929.7,2792,
2796,"Awards, Orders, Decorations, Armorial Bearings, Autographs",929.8,2792,
2797,Forms Of Insignia And Identification,929.9,2792,
2798,History Of Ancient World (To Ca. 499),930,2768,"2799,2801,2802,2803,2804,2805,2806,2807,2808,2809"
2799,History Of Ancient World To Ca. 499,930,2798,
2800,Archaeology,930.1,2799,
2801,China To 420,931,2798,
2802,Egypt To 640,932,2798,
2803,Palestine To 70,933,2798,
2804,India To 647,934,2798,
2805,Mesopotamia & Iranian Plateau To 637,935,2798,
2806,Europe North & West Of Italy To Ca. 499,936,2798,
2807,Italy & Adjacent Territories To 476,937,2798,
2808,Greece To 323,938,2798,
2809,Other Parts Of Ancient World To Ca. 640,939,2798,
2810,History Of Europe,940,2768,"2813,2814,2815,2816,2817,2818,2819,2820,2821,2980"
2811,Early History To 1453,940.1,2810,
2812,1453-,940.2,2810,
2813,British Isles,941,2810,
2814,England & Wales,942,2810,
2815,Central Europe; Germany,943,2810,
2816,France & Monaco,944,2810,
2817,Italian Peninsula & Adjacent Islands,945,2810,
2818,Iberian Peninsula & Adjacent Islands,946,2810,
2819,Eastern Europe; Russia,947,2810,
2820,Scandinavia,948,2810,
2821,Other Parts Of Europe,949,2810,
2822,History Of Asia,950,2768,"2823,2824,2825,2826,2827,2828,2829,2830,2831,2832"
2823,History Of Asia,950,2822,
2824,China & Adjacent Areas,951,2822,
2825,Japan,952,2822,
2826,Arabian Peninsula & Adjacent Areas,953,2822,
2827,South Asia; India,954,2822,
2828,Iran,955,2822,
2829,Middle East (Near East),956,2822,
2830,Siberia (Asiatic Russia),957,2822,
2831,Central Asia,958,2822,
2832,Southeast Asia,959,2822,
2833,History Of Africa,960,2768,"2834,2835,2836,2837,2838,2839,2840,2841,2842,2981"
2834,Tunisia & Libya,961,2833,
2835,Egypt & Sudan,962,2833,
2836,Ethiopia & Eritrea,963,2833,
2837,Northwest African Coast & Offshore Islands,964,2833,
2838,Algeria,965,2833,
2839,West Africa & Offshore Islands,966,2833,
2840,Central Africa & Offshore Islands,967,2833,
2841,Southern Africa; Republic Of South Africa,968,2833,
2842,South Indian Ocean Islands,969,2833,
2843,History Of North America,970,2768,"2844,2845,2846,2847,2848,2849,2850,2851,2852,2982"
2844,Canada,971,2843,
2845,Middle America; Mexico,972,2843,
2846,United States,973,2843,
2847,Northeastern United States,974,2843,
2848,Southeastern United States,975,2843,
2849,South Central United States,976,2843,
2850,North Central United States,977,2843,
2851,Western United States,978,2843,
2852,Great Basin & Pacific Slope Region,979,2843,
2853,History Of South America,980,2768,"2854,2855,2856,2857,2858,2859,2860,2861,2862,2983"
2854,Brazil,981,2853,
2855,Argentina,982,2853,
2856,Chile,983,2853,
2857,Bolivia,984,2853,
2858,Peru,985,2853,
2859,Colombia & Ecuador,986,2853,
2860,Venezuela,987,2853,
2861,Guiana,988,2853,
2862,Paraguay & Uruguay,989,2853,
2863,History Of Other Areas,990,2768,"2870,2869,2868,2867,2866,2865,2864,2984"
2864,New Zealand,993,2863,
2865,Australia,994,2863,
2866,Melanesia; New Guinea,995,2863,
2867,Other Parts Of Pacific; Polynesia,996,2863,
2868,Atlantic Ocean Islands,997,2863,
2869,Arctic Islands & Antarctica,998,2863,
2870,Extraterrestrial Worlds,999,2863,
2871,Ball Games,796.3,2638,
2872,Internal Commerce (Domestic Trade),381,1930,1932
2873,Mathematics,510,2053,"2057,2059,2061,2064,2065,2066,2070,2071,2961"
2875,Fashion Design Of Clothing,746.92,2503,
2876,Agriculture,630,2932,"2314,2324,2325,2333,2336,2338,2347,2348,2349,2904"
2877,Bibliographies,011,,
2878,"In Italian, Romanian & Related Languages",055,,
2879,In Iberian Peninsula & Adjacent Islands,076,,
2880,"In Italian, Romanian & Related Languages",085,,
2881,Epistemology,121,,
2882,Humankind,218,,
2883,Humankind,233,,
2884,International Commerce (Foreign Trade),382,,
2885,Miscellany,402,,
2886,Dictionaries & Encyclopedias,403,,
2887,Serial Publications,405,,
2888,Organizations & Management,406,,
2889,"Education, Research & Related Topics",407,,
2890,Philosophy & Theory,501,,
2891,Miscellany,502,,
2892,Dictionaries & Encyclopedias,503,,
2893,Serial Publications,505,,
2894,Organizations & Management,506,,
2895,"Education, Research & Related Topics",507,,
2896,"Techniques, Equipment & Materials",542,,
2897,Specific Topics In Natural History,591,,
2898,Philosophy & Theory,601,,
2899,Miscellany,602,,
2900,Dictionaries & Encyclopedias,603,,
2901,Special Topics,604,,
2902,Serial Publications,605,,
2903,"Education, Research & Related Topics",607,,
2904,"Techniques, Equipment & Materials",631,,
2905,Organizations & Management,706,,
2906,"Education, Research & Related Topics",707,,
2907,Color,752,,
2908,Religion,755,,
2909,"Techniques, Equipment & Materials",771,,
2910,Philosophy & Theory,801,,
2911,Miscellany,802,,
2912,Dictionaries & Encyclopedias,803,,
2913,Serial Publications,805,,
2914,Organizations & Management,806,,
2915,"Education, Research & Related Topics",807,,
2916,Old English (Anglo-Saxon),829,,
2917,"Altaic, Uralic, Hyperborean & Dravidian",894,,
2918,Philosophy & Theory,901,,
2919,Miscellany,902,,
2920,Dictionaries & Encyclopedias,903,,
2921,Serial Publications,905,,
2922,Organizations & Management,906,,
2923,"Education, Research & Related Topics",907,,
2924,"Computer science, information & general works",000,1346,
2925,Philosophy & psychology,100,1452,
2926,Religion,200,1565,"1566,1567,1568,1569,1570,1571,1572,1573,1574,2927"
2927,Religion,200,1565,
2928,Social sciences,300,1674,
2929,Language,400,1966,"2930,1968,1967,2889,2888,2887,2886,2885"
2930,Language,400,1966,
2931,Science,500,2053,"2895,2894,2893,2892,2891,2890,2056,2054"
2932,Technology,600,2227,"2230,2231,2898,2899,2900,2901,2902,2903,2933"
2933,Technology (Applied sciences),600,2227,
2934,"History, geography, & auxiliary disciplines",900,2769,
2935,Bibliographies,011,1373,
2936,Library & information sciences,020,1382,
2937,"News media, journalism, and publishing",070,1422,
2938,Manuscripts and rare books,090,1441,
2939,Metaphysics,110,1459,
2940,Epistemology (Theory of knowledge),121,1468,
2941,Parapsychology & occultism,130,1477,
2942,Psychology,150,1502,
2943,Philosophical logic,160,1527,
2944,Ethics (Moral philosophy),170,1535,
2945,"Ancient, medieval, eastern philosophy",180,1545,
2946,Modern Western & other noneastern philosophy,190,1555,
2947,Philosophy & theory of religion,210,1575,
2948,Christianity,230,1608,
2949,Other religions,290,1665,
2950,Political science (Politics & government),320,1718,
2951,Economics,330,1753,
2952,Law,340,1802,
2953,Public administration & military science,350,1819,
2954,Education,370,1898,
2955,"Commerce, Communications & Transportation",380,1930,
2956,"Customs, etiquette, folklore",390,1952,
2957,Linguistics,410,1969,
2958,"Italian, Dalmatian, Romanian, Rhaetian, Sardinian, Corsican",450,2005,
2959,"Spanish, Portuguese, Galician",460,2013,
2960,Other languages,490,2039,
2961,Mathematics,510,2873,
2962,Physics,530,2097,
2963,Biology,570,2158,
2964,Plants,580,2172,
2965,Animals,590,2188,
2966,Medicine & health,610,2232,
2967,Home & family management,640,2353,
2968,Chemical engineering & related technologies,660,2384,
2969,Manufacturing,670,2394,
2970,Manufacture of products for specific uses,680,2404,
2971,Architecture,720,2446,
2972,Graphic arts,740,2479,
2973,Music,780,2536,
2974,American literature in English,810,2676,
2975,English & Old English (Anglo-Saxon) literatures,820,2685,
2976,"Literatures of Italian, Dalmatian, Romanian, Rhaetian, Sardinian, Corsican languages",850,2716,
2977,"Literatures of Spanish, Portuguese, Galician languages",860,2726,
2979,Geography & travel,910,2772,
2980,History of Europe,940,2810,"2812,2811"
2981,History of Africa,960,2833,
2982,History of North America,970,2843,
2983,History of South America,980,2853,
2984,"History of Australasia, Pacific Ocean islands, Atlantic Ocean islands, Arctic islands, Antarctica, extraterrestrial worlds",990,2863,
