-D.D.Eisenhower; ""How weary, flat, stale, and unprofitable / Seem to me all the uses of this world""-Shakespeare",
197091,02581940,a,10,"relating to or characteristic of the profession of law: ""the legal profession""","1802,1898"
197105,02583780,a,10,"situated beyond the moon or its orbit around the earth: ""who can imagine a translunary visitor in Times Square?""",2076
197114,02585051,a,10,"relating to the study or practice of medicine: ""the medical profession""; ""a medical student""; ""medical school""",2232
197131,02586912,a,10,"of or relating to the study of the principles of warfare: ""military law""",1781
197145,02588515,a,10,"relating to or affecting the infant during the first month after birth: ""neonatal care""; the neonatal period""","1675,2516"
197149,02589059,a,10,"relating to or constituting or bearing or giving a name: ""the Russian system of nominal brevity""; ""a nominal lists of priests""; ""taxable males as revealed by the nominal rolls""",1969
197178,02593019,a,10,"consisting of or characterized by the use of pictographs: ""a pictographic script""; ""pictographic stage in the development of writing""",1969
197188,02594502,a,10,"originating or located or occurring outside Earth or its atmosphere: ""is there extraterrestrial life?""",2076
197219,02598312,a,10,"relating to or belonging to the Republican Party: ""a Republican senator""; ""Republican party politics""","1718,2768"
197221,02598692,a,10,"of or relating to or indicative of or issued or performed by a king or queen or other monarch: ""the royal party""; ""the royal crest""; ""by royal decree""; ""a royal visit""",2768
197227,02599767,a,10,"relating to rural areas: ""rural electrification""; ""rural free delivery (RFD)""",2772
197250,02602546,a,10,"of or relating to senators: ""senatorial election""","1718,2516"
197253,02602922,a,10,"of or relating to a sepulchre: ""sepulchral inscriptions""; ""sepulchral monuments in churches""","1565,2800"
197256,02603355,a,10,"of or relating to the stars or constellations: ""sidereal bodies""; ""the sidereal system""",2076
197260,02604008,a,10,"relating to or belonging to or characteristic of high society: ""made fun of her being so social and high-toned""; ""a social gossip colum""; ""the society page""",1675
197281,02606692,a,10,"between or among stars: ""the density of hydrogen in interplanetary and interstellar space""",2076
197299,02608933,a,10,"relating to or using or proceeding by means of symbols: ""symbolic logic""; ""symbolic operations""; ""symbolic thinking""",
197314,02611269,a,10,"relating to or caused by temperament: ""temperamental indifference to neatness""; ""temperamental peculiarities""",1502
197328,02613218,a,10,"expressing admiration or appreciation: ""testimonial dinner""",
197333,02613791,a,10,"relating to or associated with heat: ""thermal movements of molecules""; ""thermal capacity""; ""thermic energy""; ""the caloric effect of sunlight""",2097
197340,02614816,a,10,"of or associated with or bearing a title signifying nobility: ""of titular rank""",2794
197348,02616123,a,10,"of or relating to the principles of totalitarianism according to which the state regulates every realm of life: ""totalitarian theory and practice""; ""operating in a totalistic fashion""",1718
197187,02594240,a,10,"of or relating to or characteristic of the planet Earth or its inhabitants: ""planetary rumblings and eructations""-L.C.Eiseley ; ""the planetary tilt""; ""this terrestrial ball""",2076
197240,02601265,a,10,"relating to or having sclerosis; hardened: ""a sclerotic patient""","2232,2234"
197302,02609432,a,10,"relating to or experiencing synesthesia; involving more than one sense: ""synesthetic response to music""; ""synesthetic metaphor""",
197168,02591695,a,10,"relating to or resembling or made of or adorned with pearls or mother-of-pearl; ""a pearl-handled knife""","2188,2474"
197205,02596586,a,10,"of or relating to a presentation (especially in psychology or philosophy); ""what Whitehead calls ""perception in the presentational immediacy""""",
197245,02601865,a,10,"used as a combining form; relating to--of or by or to or from or for--the self; ""self-knowledge""; ""self-proclaimed""; ""self-induced""",2516
197273,02605559,a,10,"resembling or consisting of or embedded with long slender fragments of (especially) wood having sharp points; ""a rough splintery floor of old pine boards""",
197315,02611438,a,10,"of or relating to the temples (the sides of the skull behind the orbit); ""temporal bone""",2233
197317,02611780,a,10,"of or relating to space and time together (having both spatial extension and temporal duration); ""spatiotemporal coherence""",
197343,02615284,a,10,"(physiology) of or relating to or producing normal tone or tonus in muscles or tissue; ""a tonic reflex""; ""tonic muscle contraction""",2234
197844,02684106,a,10,"made of earth (or baked clay); ""an earthen pot""",2121
197308,02610258,a,10,"of or relating to proficiency in a practical skill: ""no amount of technical skill and craftsmanship can take the place of vital interest""-John Dewey",
197447,02629600,a,10,"(physics) relating or subject to the special or the general theory of relativity; ""relativistic quantum mechanics""; ""relativistic increase in mass""; ""radiation from relativistic particles""",2097
197519,02639315,a,10,"relating to or of the nature of a legal trust (i.e. the holding of something in trust for another); ""a fiduciary contract""; ""in a fiduciary capacity""; ""fiducial power""",1753
197354,02617119,a,10,"of or relating to or associated with or resembling a dictatorship: ""tyrannical suppression of liberty""","1675,1718,2768"
197359,02617889,a,10,"relating to or characterized by or aiming toward unity: ""the unitary principles of nationalism""; ""a unitary movement in politics""",
197367,02618938,a,10,"of or relating to an occasion or expression of farewell: ""a valedictory address""; ""valedictory praise for his uniformly manly course""; ""a suitable valedictory gesture""",
197374,02619885,a,10,"of or relating to or formed from a verb: ""verbal adjectives like ""running"" in ""hot and cold running water""""",1974
197376,02620165,a,10,"pertaining to the purchase of insurance policies from terminally ill policy holders: ""viatical business""; ""viatical companies""; ""National Viatical Association""",1753
197384,02621257,a,10,"relating to or designed for or using the singing voice: ""vocal technique""; ""the vocal repertoire""; ""organized a vocal group to sing his compositions""","2101,2536"
197387,02621821,a,10,"relating to or produced by or consisting of volcanoes: ""volcanic steam""; ""volcanic islands such as Iceland""; ""a volcanic cone is a conical mountain or hill built up of material from volcanic eruptions""","2121,2772"
197390,02622421,a,10,"using or providing or producing or transmitting or operated by electricity: ""electric current""; ""electric wiring""; ""electrical appliances""; ""an electrical storm""",2107
197410,02625317,a,10,"of or relating to or dealing with good literature: ""literary criticism""",2657
197420,02626478,a,10,"relating to military forces prepared for operations launched from the sea against an enemy shore: ""amphibious troops""",1781
197442,02628896,a,10,"of or relating to expressionism: ""expressionist art""",2425
197444,02629150,a,10,"of or relating to postmodernism: ""postmodernist architecture""",2425
197468,02632185,a,10,"relating to a phallus especially as an embodiment of generative power: ""a phallic cult""; ""phallic worship""",2233
197471,02632659,a,10,"of or relating to a profession: ""we need professional advice""; ""professional training""; ""professional equipment for his new office""",
197495,02636132,a,10,"of or relating to the scientific study of language: ""linguistic theory""",1969
197499,02636669,a,10,"constituting or relating to a tail: ""caudal appendage""","2188,2233"
197502,02637055,a,10,"of or relating to the cranium which encloses the brain: ""cranial pressure""","2188,2233"
197503,02637183,a,10,"relating to or associated with a coma: ""comatose breathing""; ""comatose state""",1502
197515,02638797,a,10,"of or relating to the plant life in a particular region: ""characteristic alpine floral elements""","2172,2188"
197539,02642015,a,10,"transmitting chyle: ""chyliferous vessels""",2233
197543,02642490,a,10,"produced under conditions involving intense heat: ""igneous rock is rock formed by solidification from a molten state; especially from molten magma""; ""igneous fusion is fusion by heat alone""; ""pyrogenic strata""",2097
197559,02644469,a,10,"of or pertaining to or contained in or in accordance with the Bible: ""biblical names""; ""biblical hebrew""","1565,2657"
197565,02645555,a,10,"relating to or characteristic of or according to the rules of counterpoint: ""contrapuntal base""",2536
197574,02646683,a,10,"of or relating to your views about social relationships involving authority or power: ""political opinions""",1718
197580,02647426,a,10,"of or relating to philosophy or philosophers: ""philosophical writing""; ""a considerable knowledge of philosophical terminology""",1451
197594,02649313,a,10,"of or relating to a pastor: ""pastoral work""; ""a pastoral letter""",1565
197598,02649865,a,10,"of or relating to the practice of pathology: ""pathological laboratory""",2232
197609,02651465,a,10,"of or relating to or designating narcotics: ""narcotic addicts""; ""narcotic stupor""",2248
197621,02653126,a,10,"relating to or characteristic of a metropolis: ""metropolitan area""",
197404,02624461,a,10,"of or relating to precious stones or the art of working with them: ""the ring is of no lapidary value""-Lord Byron; ""lapidary art""","2111,2474"
197623,02653397,a,10,"of or pertaining to atmospheric phenomena, especially weather and weather conditions: ""meteorological factors""; ""meteorological chart""; ""meteoric (or meteorological) phenomena""",2121
197562,02644956,a,10,"(biology) relating to the occurrence of more than one kind of individual (independent of sexual differences) in an interbreeding population; ""a polymorphic species""",2158
197568,02645924,a,10,"(music) relating to or being musical drama; ""the lyric stage""",2536
197603,02650502,a,10,"(grammar) serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes; ""objective case""; ""accusative endings""",1974
197614,02652196,a,10,"relating to principles of right and wrong; i.e. to morals or ethics; ""moral philosophy""",1565
197477,02633578,a,10,"of or relation to a vocation or occupation; especially providing or undergoing training in special skills: ""vocational school""; ""vocational students learning to repair a motor""",
197628,02654282,a,10,"relating to or under the (astrological) influence of the planet Mercury; ""the Mercurial canals""",2076
197692,02663073,a,10,"of or relating to the upper jaw and face (particularly with reference to specialized surgery of the maxilla); ""maxillofacial surgery""",2233
197641,02655981,a,10,"of or pertaining to a number system having 8 as its base: ""an octal digit""",2873
197643,02656349,a,10,"of or relating to or resembling the eye: ""ocular muscles""; ""an ocular organ""; ""ocular diseases""; ""the optic (or optical) axis of the eye""; ""an ocular spot is a pigmented organ or part believed to be sensitive to light""","2102,2233"
197657,02658189,a,10,"of or relating to marriage or to the relationship between a wife and husband: ""connubial bliss""; ""conjugal visits""",1675
197664,02659129,a,10,"extending through all human cultures: ""a transcultural ideal of freedom embraciong all the peoples of the world""",1675
197670,02660019,a,10,"related to or written for or performed by a chorus or choir: ""choral composition""; ""choral ensemble""",2536
197673,02660469,a,10,"relating to or marked by communism: ""Communist Party""; ""communist governments""; ""communistic propaganda""",1718
197686,02662316,a,10,"relating to areas between the layers of the skin: ""an intradermal injection""",2233
197694,02663366,a,10,"relating to or situated at an interface: ""an interfacial layer""; ""interfacial tension is the surface tension at the interface between two liquids""",2111
197704,02664693,a,10,"of or pertaining to grammar: ""the grammatic structure of a sentence""; ""grammatical rules""; ""grammatical gender""",1974
197708,02665357,a,10,"pertaining to statistical methods used in studying the relations between languages: ""lexicostatistic techiques""",1969
197715,02666201,a,10,"involving or relating to movements of the muscles: ""motor coordination""; ""a motor reflex""; ""motor paralysis""",2233
197719,02666678,a,10,"within a muscle: ""an intramuscular injection""",2233
197720,02666783,a,10,"relating to or consisting of neuroglia: ""neuroglial tissue""",2233
197726,02667546,a,10,"of or relating to the spine or spinal cord: ""spinal cord""; ""spinal injury""",2233
197727,02667673,a,10,"of or relating to of comprising atoms: ""atomic structure""; ""atomic hydrogen""","2097,2111"
197728,02667802,a,10,"made up of two atoms: ""a diatomic molelcule""","2097,2111"
197729,02667901,a,10,"of or relating to constituents of the atom or forces within the atom: ""subatomic particles""; ""harnessing subatomic energy""","2097,2111"
197730,02668079,a,10,"relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients: ""clinical observation""; ""clinical case study""",2232
197732,02668430,a,10,"of or relating to the system for delivering mail: ""postal delivery""",1934
197734,02668706,a,10,"of or pertaining to or typical of Europe: ""a Continental breakfast""",2772
197735,02668831,a,10,"of or relating to or concerning the American colonies during and immediately after the Revolutionary War: ""the Continental Army""; ""the Continental Congress""","1820,2772"
197736,02669045,a,10,"of or relating to words: ""lexical decision task""",1969
197737,02669147,a,10,"not relating to words: ""nonlexical morphemes""",1969
197742,02669771,a,10,"of or relating to or characterized by sexuality: ""sexual orientation""; ""sexual distinctions""","1703,2233,2234"
197744,02670038,a,10,"of or relating to the sea: ""marine explorations""","2121,2772"
197748,02670626,a,10,"of or relating to or involving or used in surgery: ""surgical instruments""; ""surgical intervention""",2232
197749,02670797,a,10,"not surgical: ""nonsurgical techniques""",2232
197750,02670911,a,10,"of or relating to a surgical operation: ""operative surgery""",2232
197753,02671223,a,10,"relating to or involving ships or shipping or navigation or seamen: ""nautical charts""; ""maritime law""; ""marine insurance""","1787,1794,1946"
197756,02671951,a,10,"on or from the other side of an ocean: ""transoceanic crossing""","2121,2772"
197758,02672159,a,10,"within or by means of a vein: ""an intravenous inflammation""; ""intravenous feeding""",2233
197759,02672299,a,10,"of or inhabiting mountainous regions: ""montane flowers""","2121,2772"
197760,02672408,a,10,"relating to or governed by or in accordance with mechanics: ""a belief that the universe is a mechanical contrivance""; ""the mechanical pressure of a strong wind""",2097
197761,02672625,a,10,"relating to or concerned with machinery or tools: ""mechanical arts""; ""mechanical design""; ""mechanical skills""",2415
197762,02672833,a,10,"of or relating to animals or animal groups: ""zoological garden""","2158,2188"
197763,02672953,a,10,"concerning the study of animals and their classification and properties: ""zoological research""",2158
197766,02673368,a,10,"of or relating to rent: ""rental agreement""; ""rental charges""","1707,1896"
197767,02673481,a,10,"available to rent or lease: ""a rental car""",1753
197733,02668550,a,10,"of or relating to or characteristic of a continent""; ""the continental divide""; ""continental drift""",2772
197745,02670139,a,10,"of or relating to military personnel who serve both on land at at sea (specifically the U.S. Marine Corps); ""marine barracks""",1781
197631,02654685,a,10,"characterized by or capable of producing music: ""a musical evening""; ""musical instruments""",2536
197784,02675850,a,10,"(meteorology) of or relating to the front of an advancing mass of air; ""frontal rainfall""","2097,2126"
197791,02676990,a,10,"(anatomy) of or relating to or associated with the parietal bones in the cranium; ""parietal lobe""",2233
197794,02677366,a,10,"of or relating to o occurring in a tube such as e.g. the fallopian tube or eustachian tube; ""tubal ligation""; ""tubal pregnancy""",2233
197771,02674010,a,10,"of or relating to a fetus: ""fetal development""","2188,2233"
197772,02674135,a,10,"of or relating to an embryo: ""the embryonic membrane""","2158,2188"
197773,02674274,a,10,"of or relating to or characteristic of or appropriate for children: ""juvenile diabetes""; ""juvenile fashions""",1463
197774,02674437,a,10,"of or relating to herbs: ""herbal tea, herbal medicine""",1957
197775,02674544,a,10,"of or relating to a doctor or doctorate: ""doctoral dissertation""; ""doctorial candidates""","1919,1922"
197776,02674753,a,10,"of or relating to the medical care of children: ""pediatric dentist""",2232
197777,02674907,a,10,"relating to the motion of material bodies and the forces associated therewith: ""kinetic energy""",2097
197779,02675163,a,10,"of or relating to neurons: ""neural network""",2233
197782,02675581,a,10,"of or relating to the activity or business for which you are trained: ""occupational hazard""",
197783,02675731,a,10,"of or relating to the pelvis: ""pelvic exam""; ""pelvic inflammation""",2233
197785,02675993,a,10,"relating to shepherds or herdsmen or devoted to raising sheep or cattle: ""pastoral seminomadic people""; ""pastoral land""; ""a pastoral economy""","2314,2516,2876"
197786,02676217,a,10,"of or relating to Freemasons or Freemasonry: ""Masonic lodge""","1675,2516,2600"
197787,02676359,a,10,"of or relating to stonemasons or masonry: ""masonic tools""",2415
197789,02676681,a,10,"of or related to migration: ""migratory patterns""",2188
197790,02676785,a,10,"of or relating to or involved the practice of aiding the memory: ""mnemonic device""",
197793,02677239,a,10,"of or relating to or of the nature of a periphery: ""peripheral vision""",2234
197798,02677877,a,10,"relating to or having or characterized by structure: ""structural engineer""; ""structural errors""; ""structural simplicity""",2446
197800,02678243,a,10,"of or relating to the structure of the body: ""anatomical features""",2233
197801,02678395,a,10,"of or relating to the branch of morphology that studies the structure of organisms: ""anatomical research""",2233
197802,02678586,a,10,"of or pertaining to the art and science of architecture: ""architectural history""; ""architectural design""",2446
197804,02678888,a,10,"of or relating to an organization: ""organizational structure""",
197805,02679010,a,10,"of or relating to having capacities for cogitation: ""the cogitative faculty""",
197806,02679143,a,10,"of or being or relating to or involving cognition: ""cognitive psychology""; ""cognitive style""",
197807,02679291,a,10,"of or relating to the mind: ""mental powers""; ""mental development""; ""mental hygiene""",1502
197808,02679427,a,10,"of or relating to the intellect: ""his intellectual career""",1502
197809,02679544,a,10,"of or relating to the arts and manners that a group favors: ""cultural events""; ""a person of broad cultural interests""",
197810,02679716,a,10,"of or relating to or characterized by facts: ""factual considerations""",
197813,02680018,a,10,"of or associated with the Christian Church: ""ecclesiastic history""",1565
197814,02680178,a,10,"associated with the priesthood or priests: ""priestly (or sacerdotal) vestments""; ""hieratic gestures""",
197815,02680424,a,10,"of or relating to a belief in sacerdotalism: ""sacerdotal emphasis on the authority of priests""",1565
197816,02680575,a,10,"containing one mole of a substance: ""molar weight""",1951
197820,02681140,a,10,"existing or acting between molecules: ""intermolecular forces""; ""intermolecular condensation""","2097,2111"
197821,02681293,a,10,"accompanied by or characterized by maceration: ""macerative degeneration of the liver""",2111
197824,02681696,a,10,"having an abnormally small head and underdeveloped brain: ""a nanocephalic dwarf""",
197827,02682159,a,10,"relating to or consisting of or characterized by macromolecules: ""macromolecular compounds""",2111
197829,02682420,a,10,"relating to or characteristic of a microcosm: ""the microcosmic world of business""",
197834,02682906,a,10,"of or secreting or resembling mucus: ""mucous tissue""",2233
197835,02683012,a,10,"relating to or resembling mucus: ""a mucoid substance""",2233
197839,02683500,a,10,"of or limited to or involving supervision: ""in a supervisory capacity""",2516
197799,02678054,a,10,"relating to or caused by structure, especially political or economic structure: ""structural unemployment in a technological society""",
197788,02676488,a,10,"having or furnished with a mast; often used in combination: ""probably was so masted when she set forth""-S.E.Morrison; ""a three-masted bark""",1942
197797,02677768,a,10,"(prosody) of or consisting of iambs; ""iambic pentameter""",2657
197770,02673883,a,10,"of or relating to or characteristic of religious rituals: ""ritual killing""",1565
197851,02684976,a,10,"(biology) of or relating to the science of ecology; ""ecological research""","1883,2158"
197939,02696833,a,10,"of or relating to or characteristic of Rome (especially ancient Rome); ""Roman architecture""; ""the old Roman wall""","1820,2772"
197845,02684207,a,10,"containing one atom of metal in the molecule: ""monometallic carbonyls""",2111
197960,02700264,a,10,"of or relating to the popular Chinese religious system based on the teachings of Lao-tse but including a pantheon of gods along with divination and magic; ""Taoist temples""",1565
197847,02684442,a,10,"of or relating to or based on geology: ""geological formations""; ""geologic forces""",2121
197848,02684609,a,10,"of or relating to or determined by psychology: ""psychological theories""",1502
197849,02684740,a,10,"of or relating to or determined by sociology: ""sociological studies""",1675
197850,02684867,a,10,"of or relating to demography: ""demographic surveys""",1675
197852,02685195,a,10,"characterized by the interdependence of living organisms in an environment: ""an ecological disaster""",1883
197883,02689089,a,10,"of or relating to or in terms of a parameter: ""parametric equation""",2873
197888,02689682,a,10,"of or relating to supernaturalism: ""supernaturalist belifes""",1565
197894,02690470,a,10,"relating to or used in or engaged in the practice of psychiatry: ""psychiatric disorder""; ""psychiatric hospital""",2232
197901,02691663,a,10,"of or relating to the science of virology: ""virological research""",2232
197908,02692625,a,10,"of or relating to or involving or practicing orthodontics: ""orthodontic braces""",2232
197918,02694027,a,10,"of or relating to or used in or practicing obstetrics: ""obstetric hospital""",2232
197927,02695286,a,10,"relating to or characteristic of conspiracy or conspirators: ""a conspiratorial whisper""; ""the discovery of possible conspirative codes""",1794
197933,02696116,a,10,"of or relating to ontology: ""ontological speculations""",1451
197943,02697610,a,10,"of or relating to or characteristic of the Jews or their culture or religion: ""the Judaic idea of justice""",1565
197950,02698891,a,10,"of or relating to or supporting Buddhism: ""Buddhist sculpture""",1565
197972,02701787,a,10,"of or relating to or characteristic of the continents and islands of the Americas: ""the American hemisphere""; ""American flora and fauna""",2772
197975,02702471,a,10,"of or relating to or characteristic of India or the East Indies or their peoples or languages or cultures: ""the Indian subcontinent""; ""Indian saris""","1820,2772"
197987,02704237,a,10,"measured by an angle or by the rate of change of an angle: ""angular momentum""",2234
197988,02704368,a,10,"of or relating to or befitting a monarch or monarchy: ""monarchal (or monarchical) government""; ""a country that was monarchial in tradition""; ""reconciled to monarchic rule""; ""monarchical systems""","1675,1718,2768"
198007,02706563,a,10,"of or involving the uterus: ""uterine cancer""",2233
198009,02706735,a,10,"of or involving the testes: ""testicular cancer""",2233
198016,02707483,a,10,"of or relating to or affecting a lobe: ""lobar pneumonia""",2233
198025,02708555,a,10,"of or relating to or inside the intestines: ""intestinal disease""",2233
198028,02709081,a,10,"of or relating to or functioning as an adverb: ""adverbial syntax""",1974
198036,02709959,a,10,"relating to or formed with the infinitive: ""infinitival clause""",1974
198041,02710477,a,10,"of or pertaining to or of the nature of mathematics: ""a mathematical textbook""; ""slide rules and other mathematical instruments""; ""a mathematical solution to a problem""; ""mathematical proof""",2873
198057,02712603,a,10,"having power to atone for or offered by way of expiation or propitiation: ""expiatory (or propitiatory) sacrifice""",1565
198064,02713798,a,10,"of or relating to the nations of Africa and Asia or their peoples: ""Afro-Asian population""",2772
198069,02714587,a,10,"concerned with the ecological effects of altering the environment: ""environmental pollution""","1883,2158"
198070,02714739,a,10,"of or relating to the external conditions or surroundings: ""environmental factors""",
198071,02714881,a,10,"relating to the methodology of some discipline: ""methodological errors""",2053
198086,02716886,a,10,"of or relating to times before written history: ""prehistoric archeology""",2768
198107,02719360,a,10,"relating to or concerned with the morphology of plants and animals: ""morphological differences""",2158
198125,02722090,a,10,"being historically related to both Judaism and Christianity: ""the Judeo-Christian tradition""",1565
198091,02717474,a,10,"of or relating to the philosophical doctrine of monism: ""the monistic school would regard national law and international law as an integrated whole""-J.S.Roucek",
198076,02715520,a,10,"(pharmacology) through the skin (refers to medications applied directly to the skin (creams or ointments) or in time-release forms (skin patches)); ""transdermal estrogen""",2248
198121,02721308,a,10,"of or relating to metamorphosis (especially of rocks); ""metamorphic stage""; ""marble is a metamorphic rock that takes a high polish""","2158,2188"
198108,02719560,a,10,"(geology) pertaining to geological structure; ""geomorphological features of the Black Hills""; ""morphological features of granite""; ""structural effects of folding and faulting of the earth's surface""",2121
198132,02723367,a,10,"(combining form) indicating radiation or radioactivity; ""radiochemistry""",2097
198136,02723905,a,10,"(religion) of or pertaining to or characteristic of the Anglican church; ""an Anglican Bishop""",1565
198160,02727539,a,10,"of or pertaining to France or the people of France: ""French cooking""; ""a gallic shrug""","1820,2772"
198168,02728705,a,10,"of or relating to or characteristic of Sweden or its people or culture or language: ""the Swedish King""; ""Swedish punch""; ""Swedish umlauts""","1820,2772"
198175,02729761,a,10,"of or relating to Switzerland or its people or culture: ""the Swiss army""","1820,2772"
198179,02730257,a,10,"of or relating to Czechoslovakia or its people or their language: ""The Czech border""; ""Czechoslovak nationalists""; ""The Czechoslovakian population""","1820,2772"
198188,02731617,a,10,"of or relating to or characteristic of Croatia or its people or language: ""Croatian villages""","1820,2772"
198189,02731765,a,10,"of or relating to or characteristic of Slovenia or its people or language: ""Slovenian independence""","1820,2772"
198197,02732862,a,10,"of or relating to or characteristic of Tibet or its people or their language: ""Tibetan monks""","1820,2772"
198203,02733660,a,10,"of or relating to or characteristic of Venezuela or its people: ""Venezuelan oil""","1820,2772"
198216,02735494,a,10,"of or relating to or characteristic of Manchuria or its people or their culture: ""the Manchurian invasion""","1820,2772"
198226,02736884,a,10,"of or relating to or characteristic of Venice or its people: ""Venetian glass""; ""Venetian canals""","1820,2772"
198251,02740286,a,10,"relating to or affected by metastasis: ""metastatic growth""","2158,2232"
198259,02741248,a,10,"relating to or based on function especially as opposed to structure: ""the problem now is not a constitutional one; it is a functional one""; ""delegates elected on a functional rather than a geographical basis""",2234
198277,02743669,a,10,"having or involving a trajectory of less than one orbit: ""the first manned suborbital flight""",
198290,02745161,a,10,"suggestive of a thyroid disorder: ""thyroid personality""",2233
198295,02745788,a,10,"of or relating to or used in instruction: ""instructional aids""",1898
198308,02747446,a,10,"of or pertaining to emotion: ""emotional health""; ""an emotional crisis""",1502
198312,02747901,a,10,"relating to a president or presidency: ""presidential aides""; ""presidential veto""","1718,2516"
198335,02750618,a,10,"of or relating to or belonging to a nation or country: ""national hero""; ""national anthem""; ""a national landmark""","1820,2772"
198345,02752122,a,10,"relating to or resulting from experience: ""a personal, experiental reality""",
198348,02752555,a,10,"of or relating to or resembling or expressed in a proverb: ""he kicked the proverbial bucket""; ""the proverbial grasshopper""",1969
198359,02753877,a,10,"of or relating to constituents within a sentence: ""intrasentential co-occurrence""",1969
198374,02755563,a,10,"of or relating to or characteristic of humanitarianism: ""humanitarian aid""",
198384,02756836,a,10,"based on the meter as a standard of measurement: ""the metric system""; ""metrical equivalents""",1951
198389,02757506,a,10,"of or relating to a taxonomic order: ""family and ordinal names of animals and plants""",2158
198397,02758520,a,10,"relating to or having the character of a promise: ""promissary note""",
198402,02759134,a,10,"of or relating to or completing a period of 100 years: ""centennial celebration""",1463
198407,02759997,a,10,"relating to or consistent with or typical of the ideology and practice of Nazism or the Nazis: ""the total Nazi crime""; ""the Nazi interpretation of history""",1753
198414,02760961,a,10,"of or relating to or affecting the peritoneum: ""peritoneal cancer""",2233
198432,02763467,a,10,"of or relating to or conforming to idiom: ""idiomatic English""","1969,2425"
198438,02764241,a,10,"relating to animal life as distinct from plant life: ""animate life""","2158,2188"
198155,02726718,a,10,"of a more or less German nature; somewhat German: ""Germanic peoples""; ""his Germanic nature""; ""formidable volumes Teutonic in their thoroughness","1820,2772"
198254,02740572,a,10,"concerned with diagnosis; used for furthering diagnosis: ""a diagnostic clinic""; ""a diagnostic reading test""; ""diagnostic information""",
198141,02724715,a,10,"(religion) of or pertaining to or characteristic of the branch of the Protestant Church adhering to the views of Luther; ""Lutheran doctrines""",1565
198245,02739554,a,10,"relating to the belt or region of shallow water adjoining the seacoast, as in ""neritic fauna""","2158,2188"
198306,02747114,a,10,preceding and favoring gestation; of or relating to physiological changes associated with ovulation and formation of the corpus luteum,2234
198319,02748736,a,10,"using measurement by volume, as in ""volumetric analysis""",1951
198368,02754818,a,10,"(grammar) a verb tense or other formation referring to events or states that have not yet happened; ""future auxiliary""",1974
198375,02755696,a,10,"(linguistics) the phenomenon of words of different origins coming to pronounced the same way; ""homophonous words""",1969
198419,02761679,a,10,"pertaining to or characteristic of a body of rules and principles accepted as axiomatic; e.g. ""canonist communism""",
198152,02726211,a,10,"of or pertaining to or characteristic of Italy or its people or culture or language: ""Italian cooking""","1820,2772"
198532,02775858,a,10,"(biology) ""taxonomic relations""; ""a taxonomic designation""",2158
198687,02795804,a,10,relating to or characterized by anti-Semitism; hating Jews,
198465,02767566,a,10,"belonging to or prescribed for celiac disease: ""a celiac diet""",2232
198485,02769660,a,10,"having an effect similar to that resulting from stimulation of the parasympathetic nervous system: ""parasympathetomimetic drugs slow the heart rate""",2233
198503,02771618,a,10,"pertaining to forces or mental processes outside the possibilities defined by natural or scientific laws: ""psychic reader""; ""psychical research""",1502
198507,02772254,a,10,"of or relating to a modern version of Lamarckism: ""Neo-Lamarckian theories""",2188
198510,02772691,a,10,"of or involving or caused by or being microbes: ""microbial warfare""",2158
198518,02773820,a,10,"of or relating to all the Greeks: ""the Olympic Games were a Panhellenic celebration""",2768
198522,02774469,a,10,"of or relating to or characteristic of ancient Mycenae or its inhabitants: ""Mycenaean bronzes""","1820,2772"
198562,02779438,a,10,"skilled at or adapted for the piano: ""pianistic abilities""",2536
198564,02779635,a,10,"of or relating to or characteristic of Paris or its inhabitants: ""Parisian restaurants can be expensive""","1820,2772"
198566,02779948,a,10,"of or relating to logical disputation: ""a dialectical weapon against his opponent""""",1718
198570,02780585,a,10,"of or relating to or characteristic of Morocco or its people: ""Moroccan mosques cannot be entered by infidels""","1820,2772"
198590,02783603,a,10,"of or relating to Karl Gauss or his mathematical theories of magnetics or electricity or astronomy or probability: ""Gaussian distribution""","2076,2873"
198629,02788186,a,10,"of or relating to Socrates or to his method of teaching: ""Socratic teaching""","1451,2768,2772"
198641,02789683,a,10,"of or relating to Moses or the laws and writings attributed to him: ""Mosaic Law""",1565
198652,02791105,a,10,"of or relating to the people who run the federal government: ""Washingtonian politics as usual""",1718
198681,02794842,a,10,"belonging or relating to white people of South Africa whose ancestors were Dutch or to their language: ""an Afrikaans couple""; ""Afrikaner support""","1820,2772"
198685,02795495,a,10,"relating to events before a marriage: ""prenuptial agreement""","1565,1675"
198696,02796906,a,10,"relating to or involving arithmetic: ""arithmetical computations""",2873
198702,02797712,a,10,"of or relating to or characteristic of Australia or its inhabitants: ""Australian deserts""; ""Australian aborigines""",2772
198707,02798527,a,10,"of or relating to the African people who speak one of the Bantoid languages or to their culture: ""the Bantu population of Sierra Leone""",1675
198720,02800221,a,10,"of or relating to or being biography: ""biographical data""",
198738,02802458,a,10,"of or relating to or characteristic of Bulgaria or its people: ""the Bulgarian capital is Sofia""","1820,2772"
198742,02803043,a,10,"of or relating to or characteristic of Myanmar or its people: ""the Burmese capital""; Burmese tonal languages""","1820,2772"
198748,02803906,a,10,"of or relating to the Carboniferous geologic era: ""carboniferous rock system""","1463,2121"
