070,a,9,"whichever, whichsoever (of two)",
208577,L8999485,n,9,"a ruler of Syracuse, the grandson and successor of the younger Hiero",
208578,L5151570,a,9,name of a Roman freedman,
208580,L8572106,n,9,"a river of Sicily, which divides into two branches, of which the northern one is now called Fiume Grande, and the southern Fiume Salso",2775
208581,L2376960,n,9,"another name of the wind Favonius, in the Indian Ocean",
208582,L3189676,n,9,"a son of Pisistratus tyrant of Athens, and brother of Hippias, killed by Harmodius and Aristogiton",
208583,L4013477,n,9,"a son of Pisistratus tyrant of Athens, and brother of Hipparchus, after whose assassination he fled to the Persians",
208584,L3575743,n,9,"the celebrated Greek physician of Cos, founder of the art of medicine, Cels",
208585,L8682673,n,9,"a fountain near Mount Helicon, sacred to the Muses, and which is fabled to have been produced by a stroke of Pegasus's hoof",1666
208586,L1893913,n,9,the father of Perimele,
208587,L6949642,n,9,or Ἱπποδάμεια,
208588,L8789663,n,9,"the horse-tamer, a poet",
208589,L6187927,n,9,"An Amazon, daughter of Mars, taken captive in the war of the Amazons by Theseus, to whom she bore Hippolytus",
208590,L6497737,n,9,son of Theseus and Hippolyte,
208591,L7470616,n,9,"Limone, a daughter of Hippomenes of Athens, who, as a punishment for unchastity, was thrown by her father to a horse to be devoured",
208592,L7251702,n,9,"son of Megareus, who conquered Atalanta, the daughter of Schoeneus, in a race, and thus obtained her as his wife",
208593,L1144121,n,9,"a Greek poet of Ephesus, who wrote in iambics, celebrated for the bitterness of his satires",2748
208594,L1412436,n,9,"a fabulous race of men, with horses' feet",
208595,L4285481,n,9,the descendant of Hippotes,
208596,L5435604,n,9,"son of Cercyon, who took part in the Calydonian hunt",
208598,L4909279,n,9,"a people of Lower Italy, between Campania, Lucania, and Apulia",1696
208599,L4905517,n,9,"a city of Hispania Baetica, now Sevilla",2775
208600,L4529310,n,9,the Spaniards,
208601,L5027387,n,9,"a city of Umbria, at the foot of the Apennines, now Spello",2775
208602,L8039705,n,9,the lower part of the Danube,
208603,L9820680,n,9,"the people of Istria, Istrians, a barbarous Illyrian tribe subdued by the Romans B",1696
208604,L8974447,n,9,the censurer of Homer,
208605,L9984773,n,9,the Greek poet Homer,2748
208606,L8293792,n,9,"a high mountain in Thessaly, near Tempe",2775
208607,L3885252,a,9,i,
208609,L4703397,a,9,"of or belonging to a Horatius, Horatian",
208610,L5859747,n,9,"a city of Molossis in Epirus, of uncertain site",2775
208611,L9550645,n,9,"a city of Etruria, now Orte",2775
208612,L1386270,a,9,"of or belonging to a Hostilius, Hostilian",
208613,L9735615,n,9,the Huns,
208614,L3361769,n,9,"a beautiful Spartan youth, son of Oebalus, beloved by Apollo, and accidentally killed by a blow of his quoit",
208615,L2940361,n,9,"the Hyades, a group of seven stars in the head of Taurus",
208616,L3922786,n,9,"a nymph, companion of Diana",
208617,L2536390,n,9,"a town of Phocis, on the borders of Boeotia, its ruins near the village of Vogdhani",2775
208618,L2834590,n,9,"the Hyantes, an old name of the Boeotians",
208619,L6139582,n,9,"a son of Atlas, and father or brother of the Hyades",
208620,L4279054,n,9,"a mountain of Sicily abounding in flowers and bees, with a city of the same name",2775
208622,L5431373,n,9,"the water-serpent killed by Hercules near the Lernean Lake, the Hydra, with seven heads",
208623,L6318985,n,9,a city of Caria,2775
208624,L1195696,n,9,the constellation Aquarius,
208625,L6803760,n,9,"a city of Calabria, under a mountain of the same name, now Otranto",2775
208626,L7776666,n,9,one of the first three Dioscuri,
208627,L7721847,n,9,"a city of Boeotia, north of lake Copais, near the modern Strobiki",2775
208628,L8416137,n,9,"daughter of Aesculapius, and goddess of health",1666
208629,L5410133,n,9,the name of a hound of Actoeon,
208632,L7258741,a,9,one who took part in the Calydonian hunt,
208633,L7145592,n,9,"a son of Hercules by Deianira, and husband of Iole",
208634,L3830114,n,9,the beautiful wife of the centaur Cyllarus,
208635,L9339960,n,9,"a mountain near Athens, famed for its honey and its marble",2775
208636,L7830200,n,9,a comedy of Coecilius Statius,
208637,L8304440,n,9,a small town in Lydia,2775
208638,L3372540,n,9,"a river in India, a tributary of the Indus, now Sutledge",2775
208639,L2585638,n,9,a small town of Thessaly,2775
208640,L8131480,n,9,an Athenian orator,
208641,L1266347,n,9,a fabulous people living at the extreme north,
208642,L3190923,n,9,"a fountain at Pheroe, in Thessaly",
208643,L4224340,n,9,a celebrated orator in Athens,
208644,L3481892,n,9,"the son of a Titan and the Earth, father of the Sun",
208645,L2090581,n,9,"the youngest of the daughters of Danaus, the only one who preserved her husband's life",
208646,L1172020,n,9,"the Counterfeit, the title of a comedy by Menander and Caecilius",
208647,L2804132,n,9,"a river in Sicily, now Belici",2775
208648,L5061795,n,9,one who was present at the nuptials of Perseus,
208649,L8783992,n,9,a grammarian,
208650,L2435035,n,9,"daughter of Thoas, queen of Lemnos in the time of the Argonauts",
208651,L7242523,n,9,the Hyrcanians on the Caspian Sea,
208652,L2120206,n,9,"a lake, and town situated by it, in Boeotia",2775
208653,L3049128,n,9,"a poor Boeotian, father of Orion",
208654,L9844991,n,9,father of the Persian king Darius I.,
208655,L6312286,n,9,a son of the fourth Sol,
208656,L4604588,n,9,an Arabian emir,
208657,L9688875,n,9,"the descendants of Iamus, son of Apollo",
208659,L6230530,n,9,"daughter of Telestes, in Creta",
208660,L4746678,n,9,a player on the cithara,
208661,L4585014,n,9,"a Titan, son of Uranos and Goea, the father of Atlas, Prometheus, and Epimetheus",
208662,L2831356,n,9,"a people of Illyria, in the present military frontier of Croatia",1696
208663,L2180554,n,9,"a son of Doedalus, who ruled in Southern Italy",
208664,L8227724,n,9,a king of Mauritania,
208665,L2693488,n,9,the daughter of Iardanus,
208666,L7359240,n,9,"son of Jupiter and Electra, beloved of Ceres",
208668,L5010770,n,9,"an ancient and wealthy town on the coast of Caria, now Askem or Asyn Kalessi",2775
208669,L1745659,n,9,a sarmatian people on the Danube,
208670,L3602217,n,9,"a Greek lyric poet of Rhegium, celebrated on account of the cranes which he called upon as witnesses of his murder",2748
208671,L1448365,n,9,a notorious robber,
208672,L9473873,n,9,"a son of Doedalus, who, on his flight from Crete, fell into the Aegean Sea",
208673,L6422268,n,9,a son of Somnus,
208674,L9824439,n,9,one of Actoeon's hounds,
208675,L9826428,n,9,a very ancient name of the island of Sardinia,2775
208676,L2842460,n,9,"a city of Lycaonia, now Koniyeh",2775
208677,L4161755,n,9,"a high mountain in Crete, where the infant Jupiter was hid, watched over by the Curetes, and fed by Amalthea",2775
208678,L6971056,n,9,"a mountain city in Cyprus, sacred to Venus",2775
208679,L5244229,n,9,"son of Aphareus, king of Messene, who took part in the Calydonian boar-hunt",
208680,L3848133,n,9,"the father of Arachne, a native of Colophon",
208681,L7234271,n,9,a region of Palestine,2775
208682,L1825539,n,9,the wife of Aeëtes and mother of Medea,
208683,L4147631,n,9,"an Idyl, pastoral poem",
208684,L8669570,n,9,"a city of Umbria, now Gubbio",2775
208701,L8955838,a,9,"an island in the Tyrrhene Sea, on the coast of Campania, now Ischia",2775
208686,L7241792,n,9,Liv,
208688,L3345023,n,9,"a poetical name of Rhea Silvia, daughter of Numitor and mother of Romulus and Remus",
208689,L1222326,n,9,"a people in Sardinia, regarded by Mela as the earliest inhabitants of the island",2775
208690,L6500532,n,9,the youngest son of Niobe,
208691,L9885522,n,9,"a city of Hispania Boetica, upon the right bank of the Boetis, its ruins near Peñaflor",2775
208692,L9775174,n,9,"a poetical name for Troja, the city of Ilium, Troy",2775
208693,L5221100,n,9,"a people on the Adriatic Sea, in the modern Dalmatia and Albania",
208694,L6758721,n,9,"a town in Hispania Tarraconensis, the modern Maltaeo",2775
208695,L7616410,n,9,a Ligurian tribe,
208696,L8468077,a,9,"of Imachara, a city in the northeastern part of Sicily",2775
208697,L5397160,n,9,"a great chain of mountains in Asia, between the Caspian Sea and the Ganges",2775
208699,L2586158,n,9,"the first king of Argos, father of Io and Phoroneus",
208700,L6353693,a,9,"living upon the Alps, Alpine",
208702,L5214326,n,9,"India, of India, Indian",
208703,L2368123,n,9,the name of two rivers,2775
208704,L3464929,n,9,"a city in Liguria, on the right bank of the Padus, now Monteù di Po, near Chivasso",2775
208705,L6277324,n,9,"a people of Liguria, on the sea - coast, at the foot of the Maritime Alps",1696
208706,L3274038,n,9,a German tribe,
208707,L1162141,n,9,"a people on the coast of Liguria, at the foot of the Maritime Alps",
208708,L9260140,n,9,a city of Hispania Tarraconensis,2775
208709,L6392331,n,9,"a daughter of Inachus, king of Argos, beloved by Jupiter, and changed, through fear of Juno, into a cow",
208710,L5389934,n,9,"the wife of Laïus, and mother of Oedipus, whom she married unknowingly, and had by him Eteocles and Polynices",
208711,L2722610,n,9,"the former name of the city of Caesarea in Numidia, now Ser-Sel",2775
208712,L3966372,n,9,"a son of Iphiclus, and constant companion of his uncle Hercules",
208713,L4127027,n,9,"a town and harbor of Thessaly, in Magnesia, on the Pelasgic Gulf",2775
208715,L5023634,n,9,"an Athenian, son of Xuthus, who led a colony into Asia",
208716,L6121560,a,9,"of or belonging to Ionia, Ionic",
208717,L9376778,a,9,"or aof or belonging to Ionia, Ionian",
208718,L3777645,n,9,the daughter of Iphis,
208719,L9800369,n,9,"one of the Argonauts, a swift runner",
208720,L4367570,a,9,"Iphigenīa, a daughter of Agamemnon and Clytemnestra, who, because her father had killed, in Aulis, a hart belonging to Diana, was to be offered up by way of expiation",
208721,L9813984,n,9,a Cretan girl who was changed into a man,
208722,L3622890,n,9,"the son of Eurytus and Antiope, one of the Argonauts",
208723,L8859323,n,9,"the inhabitants of Julia Iria, in Liguria, near Dertona",1696
208724,L2723119,n,9,"a small island in the Argolic Gulf, the modern Ypsili",2775
208725,L5003919,n,9,II,
208726,L3517097,n,9,the name of a beggar in the house of Ulysses at Ithaca,
208727,L8385946,n,9,an island opposite Velia,2775
208728,L1888785,n,9,"a Grecian orator of Chalcis, instructor of Demosthenes",
208729,L1649749,n,9,"a river of Gaul that falls into the Rhone, now Isère",2775
208730,L1165105,n,9,"an Asiatic tribe between Pamphylia, Lycaonia, and Cilicia, Isaurians",
208731,L5182288,n,9,"a river in Picenum, now Foglia",2775
208732,L2585484,n,9,the temple of Isis,1666
208734,L6317731,n,9,an historian,
208735,L9021601,a,9,"of or belonging to the city of Isionda, Isiondian",2775
208736,L6992158,n,9,the Egyptian goddess Isis,1666
208737,L9015997,n,9,"Abraham's son by Hagar, Ishmael",
208738,L7063112,n,9,a mountain on the southern coast of Thrace,2775
208739,L2913706,n,9,"a river of Boeotia, near Thebes",2775
208740,L9709612,n,9,"Isocrates, a celebrated orator and teacher of rhetoric at Athens, a pupil of Gorgias and the friend of Plato",
208741,L1172330,a,9,"Israel, another name of the patriarch Jacob",
208742,L6383685,n,9,"an island in the Adriatic Sea, near Illyria, with a town of the same name, now Lissa",2775
208744,L3529940,n,9,"a strip of land between two seas, an isthmus",
208745,L4785294,n,9,"the inhabitants of Istria, the Istrians",1696
208803,L1979900,n,9,"son of Labdacus, king of Thebes, and father of Oedipus",
208747,L9956883,n,9,"an island in the Ionian Sea, the kingdom of Ulysses",2775
208748,L8445580,n,9,"a city and mountain in Boeotia, with a temple of Pallas",2775
208749,L2864428,a,9,"of or belonging to Ituraea, Ituraean",
208750,L6644957,n,9,the son of Ze thus,
208751,L1936514,n,9,son of Tereus and Progne,
208753,L6104870,n,9,"the son of Ascanius and grandson of Aeneas, whom the gens Julia regarded as their ancestor",
208754,L8932015,n,9,"the son of Phlegyas, king of the Lapithae in Thessaly, and father of Pirithous",
208755,L8852070,n,9,a river in Gaetulia,2775
208756,L9913931,n,9,a river flowing into the Po,2775
208757,L5573768,n,9,"Janus, of or belonging to Janus",
208758,L4623841,a,9,"id., of or belonging to Janus",
208759,L1397060,n,9,the Hebrew prophet Jeremiah,
208760,L8998339,n,9,"John the Baptist, Lact",
208761,L6533357,a,9,of Joppa,
208763,L3161692,n,9,a cognomen of the emperor Diocletian,2792
208764,L2239383,n,9,the name of two Numidian-kings,
208765,L7564506,n,9,"the country of the Jews, Judea, Palestine",
208766,L2396740,n,9,to live in the Jewish manner,
208767,L3993475,n,9,the son of Jacob and patriarch of one of the tribes of Israel,
208768,L9467558,n,9,"the nephew and successor of Micipsa, king of Numidia, conquered by Marius in the war with the Romans",
208769,L3363162,n,9,"a city of Gallia Belgica, now Juliers",2775
208770,L9046990,n,9,"Julius, of or belonging to Julius Caesar, Julian",
208771,L2707324,n,9,a town in Galilee,2775
208772,L7625410,n,9,"Julius, of or belonging to Julius, Julian, an appellation given to cities or colonies",
208773,L1434160,a,9,"Junius, of or belonging to a Junius, Junian",
208774,L4279728,n,9,Junian,
208775,L8691422,n,9,"the goddess Juno, daughter of Saturn, sister and wife of Jupiter, and the guardian deity of women",1666
208776,L5967540,n,9,"a Roman empress, wife of the elder Valentinian, and mother of the younger Valentinian",
208778,L4422386,a,9,Juvenal,
208779,L7831807,n,9,"a priest in Spain in the time of Constantine the Great, who made a metrical version of the four Gospels",
208780,L4792330,n,9,"id., of or belonging to the Kalends",
208781,L5423308,n,9,"a people of Illyria, whose capital was Scodra",1696
208782,L1355967,n,9,"a district in Campania, lying around Capua and Nola, now Terra di Lavoro",2775
208783,L6286173,n,9,"an epithet of Jupiter, derived from the town of Labranda, in Caria, where there was a temple to him",2775
208784,L9298302,n,9,"Spartan, Lacedaemonian",
208785,L1371001,n,9,"the city of Lacedaemon or Sparta, near the modern Mistra",2775
208786,L4553509,n,9,the name of a rich charioteer,
208787,L2676916,n,9,one of the three Fates,
208788,L3803483,n,9,"one belonging to the Lacian demos, or district, in Attica",2775
208789,L5013683,n,9,"a promontory in Magna Graecia, near Crotona, with a temple to Juno, now Capo delle Colonne or Cape Nao",1666
208790,L8879634,n,9,"a Laconian, Lacedaemonian, Spartan",
208792,L2491074,n,9,"an Academician of Cyrene, a pupil of Arcesilas",
208793,L5032133,n,9,"a runner of Alexander the Great, whose name became a proverb for swiftness",
208794,L9184283,n,9,a river of Arcadia which flows into the Alphëus,2775
208795,L3137053,n,9,a town of Arabia,2775
208796,L7603431,n,9,the father of Ulysses,
208797,L7789354,n,9,"an ancient people of Liguria, between the Po and the Ticinus",1696
208798,L7777033,n,9,a Roman poet of the ante-classical period,2737
208799,L5726878,n,9,name of a boy,
208800,L8513208,n,9,a city in Great Phrygia,2775
208801,L4739955,n,9,the father of Ptolemy I,
208802,L5592459,n,9,the name of two courtesans of Corinth celebrated for their beauty,
208804,L3945596,n,9,"a region in Hispania Tarraconensis, where the vine was cultivated, Ep",2775
208805,L5447108,n,9,"a small river in northern Italy, a tributary of the Po",2775
208806,L1110247,n,9,"a city in Phthiotis, now Zeitun",2775
208807,L3658181,n,9,the name of a slave,
208808,L4482668,n,9,"a daughter of the sun-god and sister of Phaëthon, who was changed into a tree",1666
208812,L6128600,n,9,"a city of Hispania Tarraconensis, now Castro",2775
208830,L2414400,n,9,a villa of Q,
208811,L5708754,n,9,a cognomen of the gens Menenia,2792
208813,L2584414,n,9,"a town of Latium, on the Via Appia, now CivitÃ  Lavinia",2775
208814,L8460322,n,9,"a son of Priam and Hecaba, priest of the Thymbrean Apollo, who was killed, with his two sons, at the altar by two serpents",
208815,L2700470,n,9,a daughter of Acastus,
208816,L9882077,n,9,"a daughter of Priam, who married Helicaon, son of the Thracian king, Antenor",
208817,L9250920,n,9,"the father of Priam and Ganymede, king of Troy",
208818,L6719304,n,9,"a fort or castle in Thessaly, at Tempe",
208819,L4088240,n,9,a Lapitha,
208820,L1826961,n,9,a praenomen of Etruscan origin,2792
208822,L1046267,n,9,"the festival celebrated in honor of Larentia, on the 23d of December",
208823,L8948885,n,9,the name of a woman of bad repute,
208824,L6250990,n,9,"a Roman cognomen, especially in the gens Scribonia",2792
208825,L8543556,n,9,"a town of Samnium, in the territory of the Frentani, near Teanum, now Larino",2775
208826,L8597742,n,9,"a river in Achaia, now Mana",2775
208827,L7083200,n,9,"a lake in Gallia Cisalpina, on which Comum lay, now Lago di Como",
208828,L7770390,n,9,a name of the island of Lesbos,2775
208829,L4242737,n,9,a Roman cognomen in the gens Juventia,2792
208831,L9956067,n,9,"a king of the Laurentians, who favorably received Aeneas and gave him his daughter Lavinia in marriage",
208832,L2924425,a,9,"of or belonging to Latium, Latian, Latin",
208833,L2448868,n,9,"a mountain in Caria, at the mouth of the Maeander, where Luna kissed the sleeping Endymion",2775
208834,L4305037,n,9,a people in Pannonia,
208835,L4490432,a,9,collat,
208836,L8325349,n,9,"a maritime town in Latium, between Ostia and Lavinium, now Torre Paterno",2775
208837,L5064965,n,9,"a notorious robber, who is said to have been crucified and torn to pieces by wild beasts",
208838,L6069402,n,9,"a city in Hispania Tarraconensis, Flor",2775
208839,L2078326,n,9,"a place in Campania, otherwise unknown",2775
208840,L2201655,n,9,the daughter of Latinus and wife of Aeneas,
208842,L3614818,n,9,"an heroic courtesan of Athens, in the time of Harmodius and Aristogīton",
208843,L7259830,n,9,"a young man of Abydos, who, in order to visit Hero in Sestos, swam nightly across the Hellespont, until he was drowned in a storm",
208844,L2466973,n,9,"the son of Athamas and Ino, whom Athamas, in a fit of madness, killed",
208845,L5833100,n,9,"a Boeotian city near Mount Helicon, and above which was situated the cave of Trophonius, with a temple, now Livadhia",2775
208846,L2556310,n,9,"the port of Corinth, on the Corinthian Gulf",
208847,L6963634,n,9,"a promontory on the coast of Troy, now C",
208848,L2224279,n,9,"the daughter of Thestius, and wife of Tyndarus",
208849,L1239253,n,9,"a river in Gallia Narbonensis, now Lez",2775
208850,L3952304,n,9,a Pelasgic tribe who lived scattered over several parts of Asia Minor and Greece,
208851,L4311199,n,9,"the island of Lemnos, in the Aegean Sea",2775
208852,L1461940,n,9,"shades, ghosts of the departed",
208853,L6311444,n,9,the cognomen of a distinguished family in the gens Cornelia,2792
208854,L7159868,n,9,"a temple in Athens, reared in honor of the three daughters of Leos, who suffered themselves to be sacrificed in order to avert a famine",1666
208855,L6335456,n,9,the daughters of Leos,
208856,L6150554,n,9,"the name of a town near Syracuse, now Magnisi",2775
208857,L9565775,n,9,"a king of Sparta, who fell at Thermopylae",
208858,L2671060,a,9,"of or belonging to the emperor Leo, Leonine",2798
208859,L2826058,n,9,"a very ancient town on the eastern side of Sicily, now Lentini",2775
208860,L2070641,n,9,"an Athenian hetaera, a friend of Epicurus",
208861,L4648295,n,9,a cognomen of the gens Aemilia,2792
208862,L8593567,n,9,"a sea-coast town in Elis, south of Pylos",2775
208863,L4517102,n,9,the name of two cities on the coast of Africa,
208865,L8842137,n,9,"a celebrated island in the Aegean Sea, off the coast of Troy and Mysia, the birthplace of Pittacus, Alcaeus, Arion, Sappho, and Theophrastus, and famous for its wine",2775
208866,L7623531,n,9,"the wife of Olenus, who, on account of her pride, was turned into stone",
208933,L2004725,n,9,"the Lucrine Lake, on the coast of Campania, in the neighborhood of Baiae",
208907,L4369400,n,9,king of Syracuse,
208868,L7032473,n,9,"a town in Calabria, near the Iapygian promontory",2775
208869,L7552360,n,9,"an island in the Ionic Sea, opposite Acarnania, with a famous temple of Apollo",2775
208870,L9640488,n,9,the white Ethiopians of Libya,
208871,L7652310,n,9,For Leucadia,
208872,L3825440,n,9,Serv,
208873,L7521690,n,9,the name of several islands,2775
208874,L8633023,n,9,"a people of Gallia Belgica, adjacent to the Lingones",1696
208875,L4894916,n,9,the daughter of Thestor,
208877,L7074350,a,9,"of or belonging to the Leucones, Leuconic",
208878,L2837823,n,9,"a promontory in the territory of the Bruttii, near Rhegium, now Capo dell' Armi",
208879,L4982545,n,9,"a small island off the coast of Lucania, near Paestum, now Licosa",2775
208880,L3001947,n,9,"the white Syrians on the shores of the Euxine, afterwards called Cappadocians",
208881,L7314907,n,9,"the name of Ino, daughter of Cadmus, after she was received among the sea-gods",1666
208882,L8992394,n,9,"daughter of Orchamus, king of Babylon, and Eurynome",
208883,L5718608,n,9,Sol,
208884,L8381872,n,9,a Levite,
208885,L9763180,a,9,of or belonging to Liber or Bacchus,
208886,L6556207,n,9,"a city of Macedonia, near the fountain of Libethra",2775
208887,L9406330,n,9,a people of Gallia Transpadana,1696
208888,L2431080,n,9,a Roman cognomen in the gens Marcia and Scribonia,2792
208889,L5483804,a,9,Libyan,
208891,L1042733,n,9,Libyphoenicians,
208892,L3518250,a,9,"of or belonging to the city of Licerium, Licerian",2775
208893,L3431640,n,9,"an attendant of Hercules, who brought to him the poisoned garment of Dejanira",
208894,L9568770,a,9,"of or belonging to a Licinius, Licinian",
208895,L9938797,n,9,a cognomen of the gens Fabia and Porcia,2792
208896,L2323325,a,9,"of or belonging to Ligarius, Ligarian",
208897,L4550338,n,9,"a Cretan, the husband of Telethusa, and father of Iphis, who, on the day of her wedding, was turned into a man",
208898,L2371306,n,9,"the Ligurians, an Italian people in Gallia Cisalpina, in the modern Piedmont, Genoa, and Lucca",
208899,L6578858,n,9,"a town of Phocis, situated at the sources of the Cephisus, now Paleokastro",2775
208900,L7486131,n,9,"a promontory on the southern coast of Sicily, with a town of the same name, now Capo Boeo",2775
208901,L1907997,n,9,"a town of Thessaly, now Kortikhi",2775
208902,L5715905,n,9,daughter of Hippomenes,
208904,L5156255,n,9,a mountain in Epirus,2775
208905,L1742833,n,9,Linus,
208906,L9636453,a,9,Liparaean,
208908,L7472037,n,9,"a river in Venetia, now the Livenza",2775
208909,L5391610,n,9,"an island on the coast of Gallia Narbonensis, opposite to Antipolis, now St",2775
208910,L5816286,n,9,"a fountain-nymph, the mother of Narcissus by Cephisus",
208911,L2656113,n,9,"a river between Latium and Campania, now Garigliano",2775
208912,L4887339,n,9,"a forest in Gallia Cisalpina, which extended through Liguria and Etruria, now Selva de Luogo",
208913,L3304571,n,9,"a city of Campania, situated to the north of the mouth of the river Liternus, now the village of Patria",2775
208914,L3959796,n,9,a town in Liguria,2775
208915,L4954530,n,9,Livian,
208916,L8977605,n,9,"a people of Greece, consisting of several tribes",1696
208917,L1199176,n,9,name of a man,
208918,L4841382,n,9,a lost work of Varro,
208919,L8592782,n,9,inhabitant of Longula,
208920,L9758743,n,9,a Volscian city in the neighborhood of Corioli,2775
208921,L3995646,n,9,a city in Hispania Tarraconensis,2775
208922,L6031418,n,9,an island on the coast of Africa,2775
208923,L3810671,n,9,a river near Antium,2775
208924,L2850050,n,9,a seaport in Carta,
208926,L6065982,n,9,the island of the lotus-eaters,2775
208927,L4312068,n,9,"a city of Etruria, now Lucca",2775
208928,L7715395,n,9,a people in Lower Italy,
208929,L2978987,n,9,a castle or fortress in Galatia,
208930,L9238228,n,9,"an ancient city of Apulia, now Lucera",2775
208931,L9340310,a,9,"Lucilian, of the poet Lucilius",
208932,L2979453,n,9,"a mountain in the Sabine territory, now Monte Genaro",2775
208935,L2374435,n,9,"a city of Etruria, now Luni",2775
208936,L3648460,a,9,"of or belonging to the Lupercalia, Lupercal",
208938,L7012425,n,9,a river of Arcadia,2775
208939,L6705207,n,9,"an epithet of Bacchus, meaning 'the relaxer, unbender, deliverer from care'",
208940,L1847901,n,9,"a Tuscan who fled from his country on account of a murder, and who, for a slight shown to Bacchus, was changed into a dolphin",
208941,L5956406,n,9,"a mountain in Arcadia, where Jupiter and Pan were worshipped",2775
208942,L1368916,n,9,"a Theban who promised his daughter to Archilochus, and afterwards refused her",
208943,L5827277,n,9,"a king of Arcadia, father of Callisto, whom Jupiter, because he had defiled his altar with human sacrifices, turned into a wolf",
208944,L1616656,n,9,"the Lycaonians, a people of Asia Minor, between Cappadocia, Cilicia, and Pisidia",1696
208945,L5677266,n,9,"a city of Illyria, near the Haliacmon, in the territory of the Dessaretes",2775
208946,L5236934,n,9,"a country of Asia Minor, between Caria and Pamphylia, where was the volcano Chimaera",
208947,L2803396,n,9,"one of the Centaurs, who endeavored to carry off Hippodamia from Pirithous",
208948,L5450522,n,9,"a gymnasium very near Athens, in which Aristotle taught",
208949,L2214902,n,9,"a Peripatetic philosopher, a follower of Strato of Lampsacus",1545
208951,L6848477,n,9,"Lycophron of Chalcis, in Euboea, the author of Cassandra, an Alexandrine grammarian and tragedian of the time of Ptolemy Philadelphus",
208952,L3273738,n,9,a son of Apollo,
208953,L2502575,n,9,a river of Aetolia,2775
208954,L9952190,n,9,a general of the Achaean League,2798
208955,L3449429,n,9,one of the Centaurs at the wedding of Pirithous,
208956,L9399572,n,9,"a king of Illyria, whom his wife Agave, the daughter of Cadmus, murdered, in order to give the kingdom to her father",
208957,L7913812,n,9,"a city of Crete, east of Gnossus, a colony of the Lacedaemonians",2775
208958,L8631077,n,9,"son of Dryas, king of the Edones, who prohibited the worship of Bacchus to his subjects, and ordered all the vines to be destroyed",
208959,L1979414,n,9,"son of Pandion, king of Lycia, Mela, 1, 15, 1",
208961,L7177364,n,9,"a country in Asia Minor, the capital of which was Sardis, the fabled original land of the Etruscans",
208962,L1544382,n,9,an ancient name of Byzantium,
208963,L7429360,n,9,one of Actaeon's hounds,
208964,L2109204,n,9,a people in the south-western part of Macedonia,
208965,L7085327,n,9,"a Messenian, and one of the Argonauts, brother of Idas, and son of Aphareus, famed for the sharpness of his sight",
208966,L2902331,n,9,"Lyrcean, of or near the Mount Lyrceum between Arcadia and Argolis",
208967,L8931926,n,9,"a town in Troas, the birthplace of Briseis",2775
208968,L8304216,n,9,"a celebrated Spartan general, conqueror of the Athenians",2798
208969,L1580771,n,9,"an Athenian, son of the philosopher Phaedrus",1545
208970,L6724006,n,9,"son of Cephalus, a famous orator of Athens",
208971,L4992398,n,9,"a city in Thrace, now Examili",2775
208972,L4137895,n,9,"one of the generals of Alexander the Great, afterwards king of Thrace, and founder of Lysimachia",2798
208973,L8848070,n,9,a city of Pisidia,2775
208975,L6587197,n,9,"a Pythagorean of Tarentum, instructor of Epaminondas",
208976,L8182600,n,9,"the brother of Lysippus, who first made statues of gypsum",
208977,L5545438,n,9,a celebrated sculptor,
208978,L9759590,n,9,"a city in Lycaonia, north-west of Iconium",2775
208979,L4786350,n,9,"a son of Aeolus, who lived in incest with his sister Canace",
208980,L1980368,n,9,the Macedonians,
208981,L2687849,n,9,"a town in Sicily, on the Crimisus",2775
208982,L2049343,n,9,a people of Iberia,1696
208983,L8502482,n,9,Macedonians,
208984,L6584856,n,9,a surname of Judas,
208985,L1418362,n,9,an auctioneer,
208986,L5954244,n,9,"son of Aesculapius, a famous surgeon of the Greeks before Troy",
208987,L9261903,n,9,a fabled people of Africa,1696
208988,L1286781,n,9,a small island near Euboea,2775
208989,L4093527,n,9,a people of Aethiopia,1696
208990,L5363203,n,9,"a city in Numidia, now Ayedrah",2775
208991,L4958814,a,9,"of or belonging to the city of Madaura, Madauran",2775
208992,L5706419,n,9,"a seaport town in the Thracian Chersonese, now Maitos",2775
208994,L7218298,a,9,of or belonging to Maecenas,
208995,L4971550,n,9,the name of a place in Latium,2775
208996,L9663348,n,9,a Thracian people on the borders of Macedonia,
208997,L2606525,a,9,"of or belonging to Maelius, Maelian",
208998,L7635707,n,9,"the priestesses of Bacchus, Bacchantes",
208999,L8839340,n,9,"a range of mountains in Arcadia, extending from Megalopolis to Tegea, and sacred to Pan",2775
209000,L9777330,a,9,"of or belonging to a Maenius, Maenian",
209001,L6194689,n,9,"the inhabitants of Maeonia, Maeonians, for Lydians, in gen.",1696
209002,L2078097,n,9,a Scythian people on Lake Maeotis,
209003,L5864656,n,9,the name of a woman who was changed into a dog,
209004,L2564773,n,9,a Roman proper names,
209005,L2821603,n,9,a mountain in Galatia,2775
209006,L5327050,n,9,a geographical proper name,
209008,L7270350,n,9,Μάγων,
209009,L7207599,n,9,"a city of Germany, on the Rhine, the modern Mayence",2775
209010,L7021047,n,9,a Carthaginian officer under Hannibal,
209011,L2156480,n,9,"daughter of Atlas and Pleione, and the mother of Mercury by Jupiter",
209012,L2006505,n,9,the third month of the Roman calendar,
209013,L4035013,n,9,one of the peninsulas in the southeast of the Peloponnese in Greece,
