,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
185648,00712828,a,10,"of extreme difficulty; requiring the strength of a Hercules: ""a herculean task""",2234
185653,00713775,a,10,"difficult to treat or deal with: ""stubborn rust stains""; ""a stubborn case of acne""",2234
185652,00713571,a,10,"requiring effort or concentration; complex and not easy to answer or solve: ""raised serious objections to the proposal""; ""the plan has a serious flaw""",2234
185656,00714136,a,10,"difficult to deal with: ""a troublesome infection""; ""a troublesome situation""",2234
185670,00716649,a,10,"refined or imposing in manner or appearance; befitting a royal court: ""a courtly gentleman""",
185657,00714270,a,10,"hard to endure: ""fell upon trying times""",2234
185654,00713912,a,10,"(informal) impressively difficult; ""a tall order""",2234
185660,00715018,a,10,"not showing effort or strain: ""a difficult feat performed with casual mastery""; ""careless grace""",2234
185663,00715616,a,10,"achieved without great effort: ""a hands-down victory""",2234
185664,00715726,a,10,"requiring little hard work or exertion: ""a painless solution to the problem""",2234
185661,00715180,a,10,"(informal) not burdensome or demanding; borne or done easily and without hardship; ""what a cushy job!""; ""a soft job""",2234
185675,00717534,a,10,"inspiring scornful pity: ""how silly an ardent and unsuccessful wooer can be especially if he is getting on in years""-Dashiell Hammett",
185673,00717242,a,10,"causing awareness of your shortcomings: ""golf is a humbling game""",
185674,00717401,a,10,"beneath your dignity: ""considered helping with the dishes to be infra dig""",
185678,00718131,a,10,"not statesmanlike: ""unstatesmanlike procedure""",
185679,00718257,a,10,"befitting a president: ""criticized the candidate for not looking presidential""",
185666,00715940,a,10,"lacking obstructions or difficulties: ""the bill's path through the legislature was smooth and orderly""",2234
185680,00718412,a,10,"not presidential: ""very unpresidential behavior""",
185684,00719072,a,10,"marked by care and persistent effort: ""her assiduous attempts to learn French""; ""assiduous research""; ""sedulous pursuit of legal and moral principles""",
185687,00719719,a,10,"failing in what duty requires: ""derelict (or delinquent) in his duty""; ""neglectful of his duties""; ""remiss of you not to pay your bills""",
185690,00720285,a,10,"not showing due care or attention: ""inattentive students""; ""an inattentive babysitter""; ""neglectful parents""",
185691,00720464,a,10,"reduced in strength or concentration or quality or purity: ""diluted alcohol""; ""a dilute solution""; ""dilute acetic acid""",
185692,00720700,a,10,"mixed with water: ""sold cut whiskey""; ""a cup of thinned soup""",
185641,00711311,a,10,"difficult to accomplish; demanding considerable mental effort and skill: ""the arduous work of preparing a dictionary""",2234
185694,00720975,a,10,(of coffee) having cream or milk added,2354
185696,00721234,a,10,(of coffee) without cream or sugar,2354
185697,00721320,a,10,of or relating to a solution whose dilution has been reduced,
185701,00721921,a,10,(of long-chain carbon compounds especially fats) having many unsaturated bonds,2111
185703,00722288,a,10,being more concentrated than normally possible and therefore not in equilibrium,
185705,00722597,a,10,skilled in dealing with sensitive matters or people,
185708,00723427,a,10,not skilled in dealing with others,
185699,00721555,a,10,"(chemistry) used especially of organic compounds; having all available valence bonds filled; ""saturated fats""",2111
185704,00722428,a,10,"not saturated; capable of dissolving more of a substance at a given temperature: ""an unsaturated salt solution""",
185714,00724516,a,10,"direct in spatial dimensions; proceeding without deviation or interruption; straight and short: ""a direct route""; ""a direct flight""; ""a direct hit""",2234
185709,00723520,a,10,"overcoming animosity or hostility: ""spoke in a conciliating tone""; ""a conciliatory visit""",
185711,00724031,a,10,"intended to reconcile or appease: ""sent flowers as a propitiatory gesture""",
185712,00724179,a,10,"arousing animosity or hostility: ""his antagonizing brusqueness""; ""a speech that was antagonizing to many voters""",
185716,00725012,a,10,"of a journey especially a flight: ""a nonstop flight to Atlanta""",2234
185721,00725830,a,10,"of a route or journey etc; continuing without requiring stops or changes: ""a through street""; ""a through bus""; ""through traffic""",2234
185717,00725129,a,10,"close enough to go straight to the target: ""point-blank range""; ""a point-blank shot""",2234
185718,00725271,a,10,"most direct: ""took the shortest and most direct route to town""",2234
185719,00725396,a,10,"pointed directly ahead: ""a straightforward gaze""",2234
185734,00728870,a,10,"forthright and honest: ""had a man-to-man talk about the facts of life""",
185744,00731257,a,10,"departing from the accepted or proper way; misleading: ""used devious means to achieve success""; ""gave oblique answers to direct questions""; ""oblique political maneuvers""",
185707,00723226,a,10,"showing skill and sensitivity in dealing with people: ""by diplomatic conduct he avoided antagonizing anyone""; ""a tactful way of correcting someone""",
185725,00726929,a,10,used of movement; at an angle,2234
185726,00727034,a,10,of tactics e.g; likely or designed to confuse or deceive,2234
185727,00727150,a,10,"of a path e.g; ""meandering streams""; ""rambling forest paths""; ""the river followed its wandering course""; ""a winding country road""",2234
185729,00727520,a,10,"(electricity) of a current that reverses direction at regular intervals; ""alternating current""",2107
185731,00728026,a,10,"bluntly direct and outspoken but good-natured; ""a bluff but pleasant manner""; ""a bluff and rugged natural leader""",
185733,00728757,a,10,"(informal) without reservation; ""a flat-footed refusal""",
185735,00728997,a,10,"not tolerating irrelevancies: ""the no-nonsense tones of a stern parent""",
185736,00729126,a,10,"free from any effort to soften to disguise: ""the plain and unvarnished truth""; ""the unvarnished candor of old people and children""",
185738,00729544,a,10,"without evasion or compromise: ""a square contradiction""; ""he is not being as straightforward as it appears""",
185740,00730225,a,10,"characterized by indirect references: ""allusive speech is characterized by allusions""",
185741,00730365,a,10,"roundabout or ambiguous: ""attacks from tht source amounted to a backhanded compliment to his integrity""; ""a backhanded and dishonest way of reaching his goal""",
185746,00731865,a,10,"heard through another rather than directly: ""hearsay information""",
185748,00732162,a,10,"not straightforward: ""his tortuous reasoning""",
185747,00731984,a,10,"hesitant to state facts or opinions simply and directly as from e.g. timidity or hypocrisy; ""a mealymouthed politician""",
185753,00733113,a,10,"having no intervening medium: ""an immediate influence""",2234
185749,00732262,a,10,"(mathematics) varying in the same manner as another quantity; ""a term is in direct proportion to another term if it increases (or decreases) as the other increases (or decreases)""",2873
185751,00732737,a,10,(astronomy) moving from west to east on the celestial sphere; or--for planets--around the sun in the same direction as the Earth,2076
185752,00732918,a,10,(astronomy) moving from east to west on the celestial sphere; or--for planets--around the sun in a direction opposite to that of the Earth,2076
185755,00733543,a,10,"without the interposition of other agencies or conditions: ""unmediated relations between God and man""",2234
200861,00222545,r,10,"in a wary manner: ""the sailor watched the sky warily""",1502
185702,00722061,a,10,"being the most concentrated solution possible at a given temperature; unable to dissolve still more of a substance: ""a saturated solution""",
185723,00726395,a,10,"(used especially of glances) directed to one side with or as if with doubt or suspicion or envy; ""her eyes with their misted askance look""-Elizabeth Bowen; ""sidelong glances""",2234
185763,00735215,a,10,lacking discernment,
185770,00736468,a,10,unwisely talking too much,
185781,00738634,a,10,capable of making fine distinctions,
185782,00738747,a,10,selecting what seems best of various styles or ideas,
185785,00739107,a,10,not discriminating,
185786,00739297,a,10,failing to make or recognize distinctions,
185788,00739539,a,10,"lacking sensitivity, taste, or judgment",
185792,00740053,a,10,not designed to be thrown away after use,
185800,00741227,a,10,of assets,
185802,00741407,a,10,"(anatomy) situated farthest from point of attachment or origin, as of a limb or bone",2233
185804,00741688,a,10,(anatomy) directed away from the midline or mesial plane of the body,2233
185806,00741957,a,10,(anatomy) being in or directed toward the midline or mesial plane of the body,2233
185807,00742123,a,10,dividing an animal into right and left halves,2233
185808,00742230,a,10,located in a plane that is parallel to the central plane of the sagittal suture,2233
185760,00734543,a,10,"characterized by ease and quickness in perceiving: ""clear mind""; ""a percipient author""",
185762,00735010,a,10,"perceiving the significance of events before they occur: ""extroardinarily prescient memoranda on the probable course of postwar relations""-R.H.Rovere",
185765,00735613,a,10,"lacking understanding: ""tried to explain to her uncomprehending husband""",
185767,00735963,a,10,"free from ostentation or pretension: ""the restrained elegance of the room""",
185766,00735747,a,10,"marked by prudence or modesty and wise self-restraint; ""his trusted discreet aide""; ""a discreet, finely wrought gold necklace",
185772,00736694,a,10,"marked by the ability to see or make fine distinctions: ""discriminate judgments""; ""discriminate people""",
185771,00736588,a,10,"lacking wise self-restraint; ""an imprudent remark""",
185774,00737138,a,10,"not selective of a single class or person: ""Clinton was criticized for his promiscuous solicitation of campaign money""",
185775,00737314,a,10,"ignoring distinctions: ""indiscriminate slaughter of a population""; ""sweeping generalizations""; ""wholesale destruction""",
185777,00737870,a,10,"having or showing appreciation or a favorable critical judgment or opinion: ""appreciative of a beautiful landscape""; ""an appreciative laugh from the audience""",
185813,00743493,a,10,"distinctly or sharply outlined: ""crystalline sharpness of outline""-John Buchan",
185780,00738442,a,10,"noting distinctions with nicety: ""a discriminating interior designer""; ""a nice sense of color""; ""a nice point in the argument""",
185783,00738854,a,10,"generally admired: ""good taste""",
185787,00739399,a,10,"lacking in discrimination: ""she was absolutely uncritical, she believed everything""",
185790,00739801,a,10,"designed to be disposed of after use: ""disposable paper cups""",
185791,00739937,a,10,"intended to be thrown away after use: ""throwaway diapers""",
185793,00740164,a,10,"that may be returned: ""returnable bottles and cans""; ""sale merchandise is not returnable""",
185795,00740447,a,10,"that may not be returned: ""nonreturnable bottles""",
185796,00740556,a,10,"free or available for use or disposition: ""every disposable piece of equipment was sent to the fire""; ""disposable assets""",
185799,00741101,a,10,"in cash or easily convertible to cash: ""liquid (or fluid) assets""",1768
185798,00740975,a,10,"(used of funds) remaining after taxes; ""spendable income""",1768
185801,00741314,a,10,"not convertible to cash: ""frozen assets""",1753
185805,00741827,a,10,"lying away from the median and sagittal plane of a body: ""lateral lemniscus""",2233
185803,00741544,a,10,"(anatomy) situated nearest to point of attachment or origin; ""the proximal end of a bone""",2233
185810,00742791,a,10,"having a clean and distinct outline as if precisely cut along the edges: ""a finely chiseled nose""; ""well-defined features""",
185815,00743862,a,10,"having a sharp or distinct edge: ""a narrow knifelike profile""",
185812,00743288,a,10,"(of something seen or heard) clearly defined; ""a sharp photographic image""; ""the sharp crack of a twig""; ""the crisp snap of dry leaves underfoot""",
185758,00734130,a,10,"acting or brought about through an intervening agency: ""the mediated settlement brought satisfaction to both sides""",2234
185816,00743979,a,10,"very clearly delineated: ""razor-sharp definition""",
185818,00744439,a,10,"made dim or indistinct: ""a sun bedimmed by clouds""",
185819,00744544,a,10,"indistinct or hazy in outline: ""a landscape of blurred outlines""; ""the trees were just blurry shapes""",
185821,00744972,a,10,"lacking clarity or distinctness: ""a dim figure in the distance""; ""only a faint recollection""; ""shadowy figures in the gloom""; ""saw a vague outline of a building through the fog""; ""a few wispy memories of childhood""",
185769,00736297,a,10,"lacking discretion; injudicious: ""her behavor was indiscreet at the very best""",
185824,00745558,a,10,being in focus or brought into focus,2527
185825,00745677,a,10,(of an image) clear and sharp,2527
185828,00746303,a,10,(of investments) distributed among a variety of securities,1753
185830,00746607,a,10,not diversified,
185834,00747238,a,10,(of investments) not distributed among a variety of securities,1753
185836,00747677,a,10,capable of being cleaved,
185838,00748036,a,10,tending to produce dissociation,
185843,00748754,a,10,(mathematics) cannot be divided without leaving a remainder,2873
185847,00749342,a,10,(of a boat or vessel) furnished with necessary official documents specifying ownership etc,1942
185849,00749719,a,10,(a boat or vessel) not furnished with official documents,1942
185851,00749952,a,10,tending to domineer,
185855,00750961,a,10,given to haughty disregard of others,
185861,00752205,a,10,showing an excessively deferential manner,
185863,00752660,a,10,totally submissive,
185864,00752777,a,10,harassed by persistent nagging,
185868,00753561,a,10,suitable for a slave or servant,
185831,00746783,a,10,"not specialized or limited to one class of things: ""general studies""; ""general knowledge""",
185832,00746926,a,10,"characterized by massiveness and rigidity and total uniformity: ""a monolithic society""; ""a monolithic worldwide movement""",
185833,00747104,a,10,"acting together as a single undiversified whole: ""a solid voting bloc""",
185837,00747757,a,10,"capable of being divided or dissociated: ""often drugs and crime are not dissociable""; ""the siamese twins were not considered seperable""; ""a song...never conceived of as severable from the melody"";",
185841,00748407,a,10,"impossible of undergoing division: ""an indivisible union of states""; ""one nation indivisible""",
185840,00748288,a,10,"(of e.g. property) can be parted or divided; ""a partible estate""",1753
185842,00748612,a,10,"not divided or divisible into parts: ""layers that were fused into an indiscrete mass""",
185845,00749009,a,10,"furnished with or supported by documents: ""the first documented case of shark attack in those waters""",
185846,00749203,a,10,"supported with written references or citations: ""a carefully referenced biography""",
185850,00749834,a,10,"not supported by written evidence: ""unsupported accusations""",
185852,00750173,a,10,"expecting unquestioning obedience: ""he was imperious and dictatorial""; ""the timid child of authoritarian parents""; ""insufferably overbearing behavior toward the waiter""",
185859,00751688,a,10,"inclined or willing to submit to orders or wishes of others or showing such inclination: ""submissive servants""; ""a submissive reply""; ""replacing troublemakers with more submissive people""",
185854,00750848,a,10,noisily domineering; tending to browbeat others,
185823,00745440,a,10,"muted or unclear: ""veiled sounds""; ""the image is veiled or foggy""",
185860,00752094,a,10,"showing humiliation or submissiveness: ""an abject apology""",
185865,00752875,a,10,"submissive or fawning in attitude or behavior: ""spoke in a servile tone""; ""the incurably servile housekeeper""; ""servile tasks such as floor scrubbing and barn work""",
185866,00753147,a,10,"attentive in an ingratiating or servile manner: ""obsequious shop assistants""",
185870,00753744,a,10,"exercising influence or control: ""television plays a dominant role in molding public opinion""; ""the dominant partner in the marriage""",1675
185872,00754335,a,10,"able to control or determine policy: ""a controlling interest in the firm""",1675
185873,00754466,a,10,"responsible for making and enforcing rules and laws: ""governing bodies""",1675
185874,00754593,a,10,"in control: ""who is the person in charge?""",1675
185875,00754691,a,10,"having superior power and influence: ""the predominant mood among policy-makers is optimism""",1675
185877,00755040,a,10,"greatest in status or authority or power: ""a supreme tribunal""",1675
185882,00755919,a,10,"of the lowest rank in a category: ""a buck private""",1675
185878,00755168,a,10,"(sometimes followed by ""to"") not subject to or influenced by; ""overcome by a superior opponent""; ""trust magnates who felt themselves superior to law""",1675
185885,00756209,a,10,"lower in rank, power, or authority: ""an under secretary""",1675
185886,00756320,a,10,of genes; producing the same phenotype whether its allele is identical or dissimilar,
185869,00753648,a,10,not servile or submissive,
185879,00755372,a,10,lower in rank or importance,1675
185880,00755631,a,10,of or relating to a person who is subordinate to another,1675
185883,00756020,a,10,acting as substitute for another,1675
185884,00756119,a,10,belonging to a lower class or rank,1675
185829,00746419,a,10,"widely different: ""varied motives prompt people to join a political party""; ""varied ethnic traditions of the immigrants""",
185902,00758842,a,10,marked by extravagant display,
185905,00759258,a,10,fit to drink,
185907,00759525,a,10,not fit to drink,
185910,00760191,a,10,smelling of beer,
185915,00761198,a,10,slightly and pleasantly intoxicated from alcohol or a drug especially marijuana,
185916,00761337,a,10,(informal) under the influence of narcotics,
185917,00761445,a,10,not affected by a chemical substance (especially alcohol),
185918,00761608,a,10,totally sober,
185920,00761880,a,10,not inebriated,
185923,00762282,a,10,made dull or blunt,2234
185924,00762363,a,10,lacking a cutting edge,2234
185925,00762440,a,10,not sharpened,2234
185932,00763552,a,10,cutting or able to cut as if with a knife,2234
185938,00764616,a,10,(medicine) sharp and piercing,2232
185940,00764832,a,10,(of a pain) as if caused by scraping with nails or claws,
185891,00757101,a,10,"(of clothing) closing with a narrow overlap and fastened with a single row of buttons; ""a single-breasted jacket""",2875
185893,00757511,a,10,"having the excitement and emotional appeal of melodrama: ""a melodramatic account of two perilous days at sea""",
185894,00757679,a,10,"of the nature of spectacle or drama: ""spectacular dives from the cliff""",
185897,00758066,a,10,"not spectacular: ""an unspectacular but necessary task""",
185895,00757808,a,10,affectedly dramatic; overacted,
185899,00758300,a,10,"not actable: ""an unactable play""",
185901,00758624,a,10,"characteristic of acting or a stage performance; often affected: ""histrionic gestures""; ""an attitude of melodramatic despair""; ""a theatrical pose""",
185904,00759073,a,10,"not suited to or characteristic of the stage or theater: ""a well-written but untheatrical play""; ""an untheatrical personality""",
185922,00762167,a,10,"used of a knife or other blade; not sharp: ""a blunt instrument""",2234
185909,00759952,a,10,"used of riotously drunken merrymaking: ""a night of bacchanalian revelry""; ""carousing bands of drunken soldiers""; ""orgiastic festivity""",
185939,00764703,a,10,"(rare; of speech) painful; bitter; ""salt scorn""-Shakespeare; ""a salt apology""",
185913,00760865,a,10,"under the influence of narcotics: ""knocked out by doped wine""; ""a drugged sleep""; ""were under the effect of the drugged sweets""; ""in a narcotized state; stuperous""",
185911,00760259,a,10,"slang for ""drunk""",
185921,00761969,a,10,"not having a sharp edge or point: ""the knife was too dull to be of any use""",2234
185914,00761103,a,10,"British informal for ""intoxicated""",
185930,00763310,a,10,"suitable for cutting or piercing: ""incisive teeth""; ""the piercing needle""",2234
185926,00762511,a,10,"having or made by a thin edge or sharp point; suitable for cutting or piercing: ""a sharp knife""; ""a pencil with a sharp point""",2234
185929,00763127,a,10,"having a cutting edge or especially an edge or edges as specified; often used in combination: ""an edged knife""; ""a two-edged sword""",2234
185927,00762869,a,10,"(of a tooth) adapted for shearing flesh; ""the carnassial teeth of carnivores""",2234
185933,00763649,a,10,"tending to penetrate: ""a toxic penetrative spray applied to the bark""",2234
185934,00763776,a,10,"made sharp or sharper: ""a sharpened knife cuts more cleanly""",2234
185936,00764129,a,10,"extremely sharp or intense: ""acute pain""; ""felt acute annoyance""; ""intense itching and burning""",
185941,00764945,a,10,"not keenly felt: ""a dull throbbing""; ""dull pain""",
185892,00757276,a,10,"suitable to or characteristic of drama: ""a dramatic entrance in a swirling cape""; ""a dramatic rescue at sea""","1502,2234"
185942,00765062,a,10,"made or become less intense: ""the deadened pangs of hunger""",
185944,00765327,a,10,"filled with events or activity: ""a lively period in history""",
185945,00765440,a,10,"marked by no noteworthy or significant events: ""an uneventful life""; ""the voyage was pleasant and uneventful""; ""recovery was uneventful""",
185947,00765788,a,10,"full of life and energy: ""a lively discussion""; ""lively and attractive parents""; ""a lively party""","1502,2158,2234"
185949,00766366,a,10,"marked by lively action: ""a bouncing gait""; ""bouncy tunes""; ""the peppy and interesting talk""; ""a spirited dance""",2234
185950,00766569,a,10,"fresh and animated: ""her breezy nature""",2234
185951,00766661,a,10,"full of or showing high spirits: ""bright bubbly children""; ""a bubbly personality""",2234
185953,00767060,a,10,"uttered with unrestrained enthusiasm: ""a novel told in burbly panting tones""",2234
185906,00759344,a,10,"of alcoholic beverages that are suitable for drinking: ""it's an impudent young wine but I think you will find it quite potable""",
185954,00767221,a,10,"(informal) abounding with life and energy; ""the club members are a really live bunch""",2234
185898,00758180,a,10,"capable of being acted; suitable for the stage: ""an actable scene""",
185966,00769784,a,10,marked by continuous change or effective action,
185972,00770968,a,10,surging or sweeping back again,
185975,00771383,a,10,characterized by an absence of force or forcefulness,
185986,00773230,a,10,having auricles,
185992,00774634,a,10,(geology) used of the earliest known rocks,2121
186011,00778012,a,10,somewhat late,1463
185958,00768230,a,10,"dull and slow-moving and stolid; like an ox; ""showed a bovine apathy""",2234
185961,00768716,a,10,"tediously repetitious or lacking in variety: ""a humdrum existence; all work and no play""; ""nothing is so monotonous as the sea""",2234
185962,00768910,a,10,"lacking brilliance or vitality: ""a dull lackluster life""; ""a lusterless performance""",2234
185964,00769513,a,10,"in a state of habitual or vigorous activity: ""an active man is a man of action""",
185970,00770552,a,10,"impelling or impelled forward: ""a projectile force""; ""a projectile missile""",
186012,00778078,a,10,"occurring after a person's death; (in the case of a child) born after the father's death; ""a posthumous award""; ""a posthumous book""; ""a posthumous child""",1463
185960,00768584,a,10,"lacking lightness or liveliness: ""heavy humor""; ""a leaden conversation""",2234
185971,00770684,a,10,"tending to or capable of propelling: ""propellant fuel for submarines""; ""the faster a jet plane goes the greater its propulsive efficiency""; ""universities...the seats of propulsive thought""",
185974,00771257,a,10,"as if striking with slashing blows: ""his slashing demon-ridden cadenza""",
185978,00771844,a,10,"having or showing keen interest or intense desire or impatient expectancy: ""eager to learn""; ""eager to travel abroad""; ""eager for success""; ""eager helpers""; ""an eager look""",
185976,00771538,a,10,not growing or changing; without force or vitality,
185980,00772307,a,10,"having or showing great eagerness or enthusiasm: ""hot for travel""",
185982,00772575,a,10,"excessively eager: ""overeager in his pursuit of the girl""",
185981,00772422,a,10,"(usually followed by ""to"") full of eagerness; ""impatient to begin""; ""raring to go""",
185983,00772688,a,10,"lacking interest or spirit or animation: ""decrepit, colorless uneager things""",
185987,00773316,a,10,"having bent or drooping ears: ""a lop-eared hound""",
185985,00773037,a,10,having ears (or appendages resembling ears) or having ears of a specified kind; often used in combination,
185988,00773421,a,10,"lacking external ears: ""earless seals""",
185996,00775314,a,10,"being somewhat early: ""at an earlyish hour""",1463
186016,00779025,a,10,"at a first stage of development; just becoming familiar with the rudiments or skills or routines: ""a beginning bodybuilder""; ""a beginning reader""; ""a novice cook""",
185993,00774741,a,10,"(geology) formed in the earlier of two divisions of the Precambrian era; ""archeozoic life forms""",2121
185994,00774908,a,10,"(geology) before the appearance of life; ""azoic rocks contain not organic remains""",2121
185997,00775412,a,10,"pertaining to or occurring in the morning: ""took his matutinal walk""",1463
185998,00775536,a,10,"uncommonly early or before the expected time: ""illness led to his premature death""; ""alcohol brought him to an untimely end""",1463
186002,00776302,a,10,"very early: ""the wee hours of the morning""",1463
186000,00775888,a,10,"(geology) formed in the later of two divisions of the Precambrian era; ""proterozoic life forms""",2121
186003,00776394,a,10,"between an earlier and a later period of time: ""in the middle years""; ""in his middle thirties""",1463
186004,00776613,a,10,"occurring or falling between events or points in time: ""so much had happened during the intervening years""",1463
186005,00776777,a,10,"used in combination to denote the middle: ""midmorning""; ""midsummer""; ""in mid-1958""; a mid-June wedding""",1463
186007,00777309,a,10,"far along in time: ""a man of advanced age""; ""advanced in years""; ""a ripe old age""; ""the ripe age of 90""",1463
186008,00777474,a,10,"after closing time especially a legally established closing time: ""after-hours socializing""; ""an after-hours club""",1463
186009,00777646,a,10,"late or behind in fulfilling obligations: ""an account in arrears""",1463
201013,00243574,r,10,"in a decent manner: ""they don't know how to dress decently""",
186014,00778594,a,10,"little evolved from or characteristic of an earlier ancestral type: ""archaic forms of life""; ""primitive mammals""; ""the okapi is a short-necked primitive cousin of the giraffe""",
186018,00779592,a,10,"in an early stage of development: ""the embryo government staffed by survivors of the massacre""; ""an embryonic nation, not yet self-governing""; ""an idea in embryo""",
185968,00770108,a,10,"supplying motive force: ""the complex civilization of which Rome was the kinetic center""-H.O.Taylor",
186020,00780032,a,10,"(botany) appearing or developing early; ""precocious flowers appear before the leaves as in some species of magnolias""",2172
186038,00784074,a,10,situated in or facing or moving toward the east,
186043,00784791,a,10,farthest to the east,
186045,00785018,a,10,situated in or facing or moving toward the west,
186049,00785555,a,10,lying in or toward the west,
186050,00785647,a,10,farthest to the west,
186067,00788908,a,10,having a lightly-muscled build with long limbs,2233
186068,00789066,a,10,having a slender physique,2233
186071,00789443,a,10,(anatomy) having a robust muscular body-build characterized by predominance of structures (bone and muscle and connective tissue) developed from the embryonic mesodermal layer,2233
186073,00789841,a,10,suitable for use as food,
186074,00790031,a,10,"fit to kill, especially for food",
186075,00790118,a,10,safe to eat,
186076,00790199,a,10,not suitable for food,
186077,00790359,a,10,not safe to eat,
186078,00790430,a,10,possessing an education (especially having more than average knowledge),1919
186081,00791287,a,10,able to read and write,1919
186025,00781222,a,10,"(linguistics) of a stage in the development of a language or literature between earlier and later stages; ""Middle English is the English language from about 1100 to 1500""; ""Middle Gaelic""","1969,2657"
186026,00781480,a,10,"(linguistics) of a later stage in the development of a language or literature; used especially of dead languages; ""Late Greek""","1969,2657"
186028,00781903,a,10,"(linguistics) in use after Medieval times; ""New Eqyptian was the language of the 18th to 21st dynasties""","1969,2657"
186031,00782413,a,10,"not gained by merit or labor or service: ""accepted the unearned rewards that came his ways as well as the unearned criticism""; ""unearned income""; ""an unearned run""",
186036,00783825,a,10,"affording no ease or reassurance: ""a precarious truce""",
186040,00784389,a,10,"from the east; used especially of winds: ""an east wind""; ""the winds are easterly""",
186037,00783947,a,10,"not at ease or comfortable: ""felt strange among so many important people""",
186039,00784280,a,10,"moving toward the east: ""eastbound trains""",
186041,00784535,a,10,"lying in or toward the east: ""the east side of NY""; ""eastern cities""",
186059,00787388,a,10,"of a region of the United States generally including Ohio; Indiana; Illinois; Iowa; Missouri; Kansas; Nebraska; and sometimes Michigan; Wisconsin; Minnesota: ""a midwestern city""; ""midwestern accent""","1820,2772"
186042,00784668,a,10,"lying toward or situated in the east: ""the eastern end of the island""",
186046,00785224,a,10,"moving toward the west: ""westbound pioneers""",
186051,00785736,a,10,"of the western part of a city: ""he lives in upper westside Manhattan""",
186063,00788177,a,10,"of a region of the United States generally including Kentucky, West Virginia","1820,2772"
186048,00785468,a,10,of wind; from the west,
186053,00786092,a,10,"denoting or characteristic of countries of Europe and the Western Hemisphere: ""occidental civilization""; ""Hesperian culture""",2772
186057,00786955,a,10,"of or characteristic of regions of the United States west of the Mississippi River: ""a Western ranch""","1820,2772"
186056,00786877,a,10,"(poetic) ""the orient sun""",2772
186062,00787944,a,10,"of or characteristic of eastern regions of the United States: ""the Eastern establishment""","1820,2772"
186058,00787200,a,10,of a region of the United States generally including New Mexico; Arizona; Texas; California; and sometimes Nevada; Utah; Colorado,"1820,2772"
186064,00788312,a,10,"of a region of the United States generally including Delaware; Maryland; Virginia; and usually New York; Pennsylvania; New Jersey: ""mid-Atlantic states""","1820,2772"
186060,00787643,a,10,of a region of the United States generally including Washington; Oregon; Idaho; and sometimes Montana; Wyoming,"1820,2772"
186061,00787812,a,10,of a region of the United States usually including Colorado; Nevada; Utah,"1820,2772"
186069,00789146,a,10,"having a squat and fleshy build: ""a pyknic practical joke""",2233
186066,00788728,a,10,of a region of the United States generally including Alabama; Georgia; Florida; Tennessee; South Carolina; North Carolina,"1820,2772"
186082,00791364,a,10,educated by your own efforts rather than by formal instruction,1919
186070,00789325,a,10,"a chubby body: ""the boy had a rounded face and fat cheeks""",2233
186072,00789723,a,10,"having a sturdy and well proportioned body: ""an athletic build""",2233
186047,00785346,a,10,"lying toward or situated in the west: ""our company's western office""",
186035,00783553,a,10,"mentally upset over possible misfortune or danger etc; worried: ""anxious parents""; ""anxious about her job""; ""not used to a city and anxious about small things""; ""felt apprehensive about the consequences""",
186030,00782293,a,10,"achieved or reached: ""the actual attained achievement test score""",
186024,00780988,a,10,"(linguistics) of a very early stage in development; ""Old English is also called Anglo Saxon""; ""Old High German is High German from the middle of the 9th to the end of the 11th century""","1969,2657"
186083,00791486,a,10,literate but poorly informed,1919
186084,00791573,a,10,not having a good education,1919
186087,00792348,a,10,poorly or insufficiently educated,1919
186090,00792820,a,10,able to understand and use numbers,
186091,00792963,a,10,adequately educated in the use of numerical terms and concepts especially in arithmetical operations,
186092,00793118,a,10,lacking knowledge and understanding of mathematical concepts and methods,
186093,00793301,a,10,not adequately educated in the use of numerical terms and concepts,
186111,00797119,a,10,requiring great physical effort,
186126,00800347,a,10,exhibiting methodical and systematic characteristics that would be useful in business,
186128,00800735,a,10,characterized by speed and efficiency,
186131,00801088,a,10,not spending at the normal rate,
186145,00803345,a,10,weak and ineffectual,
186094,00793424,a,10,"being in force or having or exerting force: ""operative regulations""; ""the major tendencies operative in the American political system""",
186095,00793686,a,10,"having influence or producing an effect: ""many emotional determinants at work""; ""an operant conscience""",
186098,00794408,a,10,"serving to permit or facilitate further work or activity: ""discussed the working draft of a peace treaty""; ""they need working agreements with their neighbor states on interstate projects""",
186099,00794649,a,10,"not operating: ""an inoperative law""",
186103,00795656,a,10,"characterized by or full of force and vigor: ""a hard-hitting expose""; ""a trenchant argument""",2234
186104,00795819,a,10,"markedly effective as if by emotional pressure: ""impelling skill as a teller of tales""; ""an impelling personality""",2234
186105,00795989,a,10,"producing a strong effect: ""gave an impressive performance as Othello""; ""a telling gesture""",2234
186106,00796147,a,10,"not producing an intended effect: ""an ineffective teacher""; ""ineffective legislation""",2234
186107,00796462,a,10,"lacking necessary force for effectiveness: ""a toothless piece of legislation""",2234
186109,00796743,a,10,"sufficient to produce a result: ""a man to whom painting was but another and less effectual way of writing dramas or novels or history""",
186113,00797776,a,10,"requiring much effort and trouble: ""the mountain climb was long, steep, and difficult""",
186114,00797918,a,10,"marked by a painfully slow and effortful manner: ""it was a strange dragging approach""; ""years of dragging war""",
